标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,任务类型
【企业宣传片】企业宣传片尾款,https://task.epwk.com/797380/,936人,1人,¥3500,圆满完成,o5b1394b15bb2b,已经谈好  勿扰。,2019-09-25,2019.09.25,任务编号：797380,3500.0,15天,江西省-南昌市-市辖区,芒谷文化,https://shop.epwk.com/z2nkz9442nqy/,,,,,,,,,,,,,,,,,,,企业宣传片
【创意短视频】产品的视频拍摄,https://task.epwk.com/796749/,1513人,1人,¥6580,圆满完成,o5d2be9b76ef3f,需求：产品的视频拍摄：淘宝主图视频，淘宝上买过东西的都应该能看到价格：未限制，最终下单的价格雇主自己和技术服务商详谈地区：找北京的注意：很急，今晚就要沟通，周一就要确定称呼：陈先生,2019-09-23,2019.09.23,任务编号：796749,6580.0,3天,北京市-北京市,影淘网影业,https://shop.epwk.com/89dvg2vqkdl2/,影淘网影业,出售服务,https://shop.epwk.com/89dvg2vqkdl2/chushou/,企业,六品,67分,,,影淘网影业,,摄像服务,"￥1200
            /日",视频制作服务,"￥100
            /秒起",影视广告制作,价格面议,微电影拍摄制作,"￥8000
            /起",创意短视频
【企业宣传片】微电影拍摄,https://task.epwk.com/794688/,1272人,1人,¥10000,圆满完成,vitorru,需要拍摄一个跟廉政有关的的微电影，需要跟技术团队沟通，然后报价提交领导审批，需要帮忙写剧本，厦门的团队联系，按照谈好的来,2019-09-17,2019.09.17,任务编号：794688,10000.0,2天,福建省-厦门市,万有美力品牌设计,https://shop.epwk.com/omdwk377xdrp/,万有美力品牌设计,出售服务,https://shop.epwk.com/omdwk377xdrp/chushou/,企业,四品,70分,,,万有美力品牌设计,,LOGO设计,"￥500
            /款",LOGO设计,"￥1500
            /款",视频拍摄,"￥3000
            /日",海报设计,"￥800
            /款",企业宣传片
【企业宣传片】公司宣传片拍摄，,https://task.epwk.com/792363/,1278人,1人,¥6000,圆满完成,o5d1d704671e5b,公司宣传片拍摄，已经谈好，请勿联系,2019-09-09,2019.09.09,任务编号：792363,6000.0,7天,湖北省-武汉市,玖陆造视界（武汉）影视科技有限公司,https://shop.epwk.com/89dvg23okdl2/,玖陆造视界（武汉）影视科技有限公司,出售服务,https://shop.epwk.com/89dvg23okdl2/chushou/,企业,二品,39分,,,玖陆造视界（武汉）影视科技有限公司,,一个年终总结报告及年会视频服务,"￥6000
            /套",MG动画制作,"￥120
            /秒",后期二维动画,"￥6600
            /套",后期三维制作,"￥8800
            /套",企业宣传片
【影视拍摄】找人拍摄15组买家秀（共60张图片）,https://task.epwk.com/792285/,2303人,3人,¥200,圆满完成,安九九AnJJ,免费邮寄3套产品，每套拍5组买家秀摆拍，一组4张照片，（共60张图片），产品是打底衫手机拍摄即可，一个场景4张，椅子、凳子、床上、桌子、沙发等都算一个独立场景。 佣金200元，产品退回运费商家承担。,2019-09-09,2019.09.18,任务编号：792285,200.0,"3天,1天,3天","浙江省-宁波市-海曙区,广东省-深圳市-宝安区,上海市-市辖区",简物产品设计,https://shop.epwk.com/rp5z4xg2wdx3/,,,,,,,,,,,,,,,,,,,影视拍摄
【后期制作】一分钟医院短片调色，原素材z-log,https://task.epwk.com/790716/,2357人,1人,¥300,圆满完成,o5c7ca9dfacd7a,一分钟医院短片调色，原素材为log模式4K，素材质量高，片子已pr剪辑好，只需要做调色，要求达芬奇调色，成片通透，对比略低，色彩微单，总体给人清新温暖感，效果可参照68747470733a2f2f7777772e78696e7069616e6368616e672e636f6d/a49414?f rom=search_post。剪辑工程文件及素材随后上传网盘。,2019-09-04,2019.09.07,任务编号：790716,300.0,3天,浙江省-杭州市-江干区,杭州一门心思影视文化有限公司,https://shop.epwk.com/rp5z490p8dx3/,,,,,,,,,,,,,,,,,,,后期制作
【创意短视频】客户反馈短视频，用于产品宣传,https://task.epwk.com/790225/,2057人,4人,¥1600,圆满完成,mf177****9021,我需要真人客户反馈视频，根据我这边台词录制一个短视频如下面视频类似：https://v.youku.com/v_show/id_XNTY1NTMwMzA4.html预算200一个，需要5个,2019-09-03,2019.10.24,任务编号：790225,1600.0,"2天,3天,3天","北京市-北京市,辽宁省-沈阳市-沈北新区,江苏省-南京市-建邺区",北京条顿文化传媒有限公司,https://shop.epwk.com/7g5yk1wl2n0q/,,,,,,,,,,,,,,,,,,,创意短视频
【创意短视频】同学会电子相册制作,https://task.epwk.com/787343/,1391人,3人,¥350,圆满完成,o5d63c423d048d,同学会电子相册制作要求：1、有片头和片尾，而不是直接打开就是相片2、要求需要好看、煽情一点工期：尽快,2019-08-26,2019.08.31,任务编号：787343,280.0,"2天,1天,2天","四川省-成都市-龙泉驿区,福建省-厦门市,北京市-北京市-东城区",肆月动画工作室,https://shop.epwk.com/z2nkzx972nqy/,,,,,,,,,,,,,,,,,,,创意短视频
【动画设计】mg动画制作,https://task.epwk.com/785621/,2058人,6人,¥1000,圆满完成,o5c52cfb12ea8b,1、包含文案；2、包含动画；3、包含配音；4、时长60S；5、周期10天；具体需求双方沟通,2019-08-21,2019.09.11,任务编号：785621,1000.0,"10天,10天,6天,10天,10天","山东省-东营市-东营区,江苏省-南京市-鼓楼区,湖南省-长沙市,江苏省-南京市,广东省-深圳市-福田区",山东尚艺恒睿文化传媒有限责任公司,https://shop.epwk.com/0jnek330xnv3/,,,,,,,,,,,,,,,,,,,动画设计
【创意短视频】视频剪辑制作,https://task.epwk.com/785452/,2813人,1人,¥1300,圆满完成,vitorru,需求：视频剪辑制作：不要拍摄，两分五十九秒，样品如图，不过是视频图片穿插，预算：最终下单的价格雇主自己和技术服务商详谈,2019-08-21,2019.09.03,任务编号：785452,1300.0,3天,福建省-厦门市,厦门视美创联文化传媒,https://shop.epwk.com/3gd2moeepner/,厦门视美创联文化传媒,出售服务,https://shop.epwk.com/3gd2moeepner/chushou/,企业,五品,40分,,,厦门视美创联文化传媒,,微电影,价格面议,广告片,价格面议,宣传片,价格面议,三维动画,价格面议,创意短视频
【企业宣传片】宣传片拍摄一期款,https://task.epwk.com/783730/,1394人,1人,¥1500,圆满完成,小胖子呀,已经谈好 合作愉快 勿扰。,2019-08-16,2019.08.16,任务编号：783730,1500.0,15天,江西省-南昌市,芒谷文化,https://shop.epwk.com/z2nkz9442nqy/,,,,,,,,,,,,,,,,,,,企业宣传片
【剪辑服务】一个1分钟的视频剪辑,https://task.epwk.com/781032/,8297人,3人,¥150,圆满完成,qq445****39,主题是：中国幼儿自闭症的现状和应对策略 视频素材自行收集整理，只需剪辑合成到1分钟就行了；可先加我微信号：详谈。,2019-08-09,2019.08.22,任务编号：781032,150.0,"1天,3天","四川省-成都市,湖北省-武汉市",一维光影（四川）文化传媒有限公司,https://shop.epwk.com/qgdmj4gvqdke/,一维光影（四川）文化传媒有限公司,出售服务,https://shop.epwk.com/qgdmj4gvqdke/chushou/,企业,六品,38分,,,一维光影（四川）文化传媒有限公司,,,,,,,,,,剪辑服务
【FLASH制作】直播礼物-动效设计,https://task.epwk.com/780222/,1722人,1人,¥500,圆满完成,o5d414f1a9ebd7,交付物需求：ps源文件+ae源文件使用的字体需要提供字体名字，最好有下载链接，方便调查有无版权纠纷。使用的素材最好能顺手贴下链接，方便调查有无版权纠纷。ae文件使用的插件最好也截图下。可任意修改编辑的ps源文件（线条无转曲能自由用钢笔工具编辑，无锁定）和可任意修改编辑ae源文件2、礼物需求：需要加一段音效，礼物1-14，动效音效持续时长6s；15-31，动效音效持续时长8s建议可以先出静态图，确定ok了再出动效3、尺寸大小：a、静态图（png透明底格式）750*750 、 156*156 如图示意​b、动态图（音效要在scga里面）（svga格式）750*1334（大小1M以下）c、动态效果图（gif或mov）750*1334e、音效加渐入渐出效果，音效文件需压缩尽量小f.svga不支持的ae效果看帖子，不熟悉导出scga的请看清楚再做设计http://blog.sina.com.cn/s/blog_be9ad3e30102yuo8.html4、礼物要达到的要求：气氛浪漫，接近实物任务： 守护神之翼需求：这个价格最贵，显示一个更牛逼的神的形象，且他有一对很闪亮亮的飞行翅膀，在扇动 ，动画8s，需要音效,2019-08-07,2019.08.19,任务编号：780222,500.0,3天,江苏省-南京市-鼓楼区,妙笔生花动画，设计，漫画和原画,https://shop.epwk.com/z2nkzx23xnqy/,,,,,,,,,,,,,,,,,,,FLASH制作
【剪辑服务】宣传视频素材剪辑拼接和宣传册设计,https://task.epwk.com/780226/,4395人,11人,¥1600,圆满完成,o5d4a33d4b3fb6,视频素材剪辑拼接出片 类似于企业宣传片,2019-08-07,2020.01.13,任务编号：780226,1600.0,"10天,7天,2天,5天,5天,10天,2天","山东省-东营市-东营区,湖北省-武汉市,广东省-深圳市-福田区,浙江省-杭州市-江干区,广东省-广州市,江西省-南昌市-青山湖区,湖北省-武汉市-江汉区",山东尚艺恒睿文化传媒有限责任公司,https://shop.epwk.com/0jnek330xnv3/,,,,,,,,,,,,,,,,,,,剪辑服务
【创意短视频】手绘画制作视频,https://task.epwk.com/780105/,1318人,1人,¥100,圆满完成,创客新事,手绘画用真人照片通过PS软件 sai 电脑手绘模板完成，我需要学习制作，用原稿和手绘画成品，重合渐渐变化的视频。如下图：,2019-08-06,2019.08.07,任务编号：780105,100.0,1天,福建省-厦门市-思明区,厦门容顺文化传媒有限公司,https://shop.epwk.com/mod04z70x5yv/,厦门容顺文化传媒有限公司,出售服务,https://shop.epwk.com/mod04z70x5yv/chushou/,企业,三品,60分,,,厦门容顺文化传媒有限公司,,海报设计 单幅海报设计/活动宣传海报设/ 宣传画设计,"￥666
            /起",包装设计 包装盒设计/包装袋设计/标签设计/礼盒包装设计,"￥1200
            /起",二维动画 二维动画/Flash动画/MG动画/飞碟说/GIF动画/广告动画/片头片尾/逐帧动画/大片定制,"￥88
            /秒",三维动画 三维特效制作/三维动画演示/建筑漫游/产品演示动画,"￥188
            /起",创意短视频
【影视拍摄】幼儿园亲子俱乐部拍照框,https://task.epwk.com/779687/,1238人,1人,¥200,圆满完成,o5cbdc5654bc8d,要求左边用可爱的小猪形象做个三口之家（脸部挖空设计）拍照框，从腰部以下往右延伸做个不规则平面设计（平面板上放指定的几个图案加一些花花草草装饰，最右边放上圆形LOGO。,2019-08-05,2019.08.09,任务编号：779687,200.0,3天,广东省-广州市,VideoW Studio,https://shop.epwk.com/7lngqxx66dmr/,VideoW Studio,出售服务,https://shop.epwk.com/7lngqxx66dmr/chushou/,工作室,七品,38分,,,VideoW Studio,,产品/服务宣传动画 MG动画 短视频制作,"￥150
            /秒",短视频制作 影视短片 超短视频设计制作,"￥150
            /秒",专业视频制作企业宣传片 影视短片制作 产品服务宣传视频制作,"￥9999
            /起",高品质主图设计,"￥299
            /件",影视拍摄
【创意短视频】拍摄7个淘宝头图视频,https://task.epwk.com/779654/,1861人,2人,¥14000,圆满完成,o5d38669d32a9b,拍摄7个淘宝头图视频，想要在15个工作日内完成。,2019-08-05,2019.09.23,任务编号：779654,14000.0,"15天,15天","浙江省-杭州市-江干区,江苏省-南京市-鼓楼区",杭州一门心思影视文化有限公司,https://shop.epwk.com/rp5z490p8dx3/,,,,,,,,,,,,,,,,,,,创意短视频
【动画设计】银行动画片宣传片制作,https://task.epwk.com/779609/,1288人,1人,¥12000,圆满完成,o5d47****4224b,4.5分钟 动画宣传片 多角色配音，完整体现业务宣传需求,2019-08-05,2019.08.22,任务编号：779609,12000.0,15天,江苏省-南京市-鼓楼区,妙笔生花动画，设计，漫画和原画,https://shop.epwk.com/z2nkzx23xnqy/,,,,,,,,,,,,,,,,,,,动画设计
【FLASH制作】相亲直播app AE动效设计,https://task.epwk.com/778026/,2033人,1人,¥500,圆满完成,o5d414f1a9ebd7,相亲直播app AE动效 定制打赏礼物3d效果气氛浪漫，接近实物交付物需求：1、ps源文件 ae源文件可任意修改编辑的ps源文件（线条无转曲能自由用钢笔工具编辑，无锁定）和可任意修改编辑ae源文件2、礼物需求：需要加一段音效，礼物1-14，动效音效持续时长6s；15-31，动效音效持续时长8s音效加渐入渐出效果建议可以先出动态图，确定ok了再出动效音效可不加，主要看动态效果。任务1：梦中女神,2019-07-31,2019.08.06,任务编号：778026,500.0,3天,江苏省-南京市-鼓楼区,妙笔生花动画，设计，漫画和原画,https://shop.epwk.com/z2nkzx23xnqy/,,,,,,,,,,,,,,,,,,,FLASH制作
【动画设计】直播间礼物动态设计,https://task.epwk.com/778021/,1141人,1人,¥500,圆满完成,o5d3e971fa990f,相亲直播app AE动效 定制打赏礼物3d效果气氛浪漫，接近实物交付物需求：1、ps源文件 ae源文件可任意修改编辑的ps源文件（线条无转曲能自由用钢笔工具编辑，无锁定）和可任意修改编辑ae源文件2、礼物需求：需要加一段音效，礼物1-14，动效音效持续时长6s；15-31，动效音效持续时长8s音效加渐入渐出效果建议可以先出动态图，确定ok了再出动效音效可不加，主要看动态效果任务1：梦中女神：一个比较好看的女人的形象,2019-07-31,2019.08.03,任务编号：778021,500.0,5天,福建省-厦门市,厦门容顺文化传媒有限公司,https://shop.epwk.com/mod04z70x5yv/,厦门容顺文化传媒有限公司,出售服务,https://shop.epwk.com/mod04z70x5yv/chushou/,企业,三品,60分,,,厦门容顺文化传媒有限公司,,海报设计 单幅海报设计/活动宣传海报设/ 宣传画设计,"￥666
            /起",包装设计 包装盒设计/包装袋设计/标签设计/礼盒包装设计,"￥1200
            /起",二维动画 二维动画/Flash动画/MG动画/飞碟说/GIF动画/广告动画/片头片尾/逐帧动画/大片定制,"￥88
            /秒",三维动画 三维特效制作/三维动画演示/建筑漫游/产品演示动画,"￥188
            /起",动画设计
【动画设计】AE动效定制,https://task.epwk.com/777149/,2764人,6人,¥600,圆满完成,o5d3e971fa990f,交付物需求：1、ps源文件+ae源文件可任意修改编辑的ps源文件（线条无转曲能自由用钢笔工具编辑，无锁定）和可任意修改编辑ae源文件2、礼物需求：需要加一段音效，礼物1-14，动效音效持续时长6s；15-31，动效音效持续时长8s音效加渐入渐出效果建议可以先出动态图，确定ok了再出动效（音效可以不加，我们自己调整也行）3、尺寸大小：a、静态图（png透明底格式）750*750、 156*156如图示意 b、动态图（svga格式）750*1334（需沟通）c、动态效果图（gif或mov）750*1334任务单1：接你回家：跑车上面有2个人跑一圈，加上文案：来接你回家了,2019-07-29,2019.08.05,任务编号：777149,600.0,"5天,5天,90天,7天,10天,7天","广东省-深圳市,广东省-深圳市-福田区,北京市-北京市-东城区,四川省-成都市,安徽省-淮南市-田家庵区,江苏省-南京市",映善中国,https://shop.epwk.com/09drjep7153w/,映善中国,出售服务,https://shop.epwk.com/09drjep7153w/chushou/,企业,一品,67分,,,映善中国,,品牌企业VI / VIS / SI 系统设计,"￥100
            /件",产品外观 / 结构设计        工业设计 / 机械设计,"￥100
            /起",,,,,动画设计
【剪辑服务】一个1分钟的视频剪辑,https://task.epwk.com/775334/,5441人,3人,¥150,圆满完成,qq445****39,一个1分钟的视频剪辑任务，主题是：纸盒装牛奶的成分及鉴别方式，常见的喝牛奶的错误方式（比如空腹喝、开盖隔夜未冷藏等），然后提出正确的饮用方式。视频素材自行收集整理，只需剪辑合成到1分钟就行了。,2019-07-24,2019.08.09,任务编号：775334,150.0,"3天,2天,3天","四川省-成都市,广东省-广州市-荔湾区,江西省-赣州市",一维光影（四川）文化传媒有限公司,https://shop.epwk.com/qgdmj4gvqdke/,一维光影（四川）文化传媒有限公司,出售服务,https://shop.epwk.com/qgdmj4gvqdke/chushou/,企业,六品,38分,,,一维光影（四川）文化传媒有限公司,,,,,,,,,,剪辑服务
【图片处理】手绘一张图,https://task.epwk.com/775063/,1724人,1人,¥400,圆满完成,o5d19c570e27c1,手绘一张图,2019-07-23,2019.08.01,任务编号：775063,400.0,7天,上海市-市辖区,拾月设计,https://shop.epwk.com/mod04zg9l5yv/,,,,,,,,,,,,,,,,,,,图片处理
【三维动画】三维角色动画15秒,https://task.epwk.com/774376/,1784人,1人,¥800,圆满完成,武汉尚艺映画,三维角色动画。要求如图，要求7月23日中午12.00之前交付完整片子。,2019-07-22,2019.07.23,任务编号：774376,800.0,1天,四川省-巴中市-巴州区,思阳品牌策划,https://shop.epwk.com/zqdpleewpn1v/,思阳品牌策划,出售服务,https://shop.epwk.com/zqdpleewpn1v/chushou/,企业,四品,40分,,,思阳品牌策划,,【UI设计】,"￥500
            /起",【空间设计】,2000,【创意产品】,￥100,【创意产品】,￥100,三维动画
【短视频营销】女装类搞笑短视频剧本策划,https://task.epwk.com/772097/,2232人,2人,¥400,圆满完成,o5d11957ba4a95,快手女装短视频1分钟内剧本策划      专业的来   风格搞笑  要求原创 价格可谈,2019-07-16,2019.08.16,任务编号：772097,300.0,"1天,3天","广西壮族自治区-北海市-银海区,江西省-南昌市-青山湖区",never,https://shop.epwk.com/zqdplgxoon1v/,,,,,,,,,,,,,,,,,,,短视频营销
【动画设计】开发设计一款自助设备的UI动画,https://task.epwk.com/772014/,1752人,8人,¥2800,圆满完成,微微智能科技,开发设计一款自助设备的UI动画要和我们软件工程师配合。直接投标留言，不要联系,2019-07-16,2019.07.30,任务编号：772014,2800.0,"7天,7天,3天,5天,10天","广东省-佛山市-南海区,江苏省-南京市-鼓楼区,广东省-深圳市,湖南省-长沙市,安徽省-合肥市",A新萝卜-最实惠,https://shop.epwk.com/0jnekxv6xnv3/,,,,,,,,,,,,,,,,,,,动画设计
【短视频代运营】抖音小视频制作，图文配乐,https://task.epwk.com/771058/,2397人,4人,¥800,圆满完成,o5d0b94d46da39,"抖音小视频，图文配乐，都卡点15秒。 要求： 1，内容积极向上，契合当下热点 2，主题：励志、学习、读书、视频大爆发、5G、机遇、九零后困境、逆袭等正能量，不必顾虑太多，选其一二内容创作即可 3,提示：李雪健张作霖经典语录，小男孩天真无邪的笑声，外国小男孩儿系领带 4:音乐积极向上，符合潮流，不带消极 5，纯原创 6：所有创作内容版权归购买者 7:影视剪辑原声音量略小于配的主题音乐 8:15秒影视剪辑10个，50元一个；15秒图文配乐5个，60元一个",2019-07-13,2019.07.15,任务编号：771058,800.0,"5天,800天,10天,3天","四川省-成都市-龙泉驿区,北京市-北京市-东城区,安徽省-淮南市-田家庵区,山东省-东营市-广饶县",肆月动画工作室,https://shop.epwk.com/z2nkzx972nqy/,,,,,,,,,,,,,,,,,,,短视频代运营
【企业宣传片】产品详情页的设计和拍摄,https://task.epwk.com/770886/,863人,1人,¥1000,圆满完成,o5d284ff0e9e4f,产品详情页的设计和拍摄，已经谈好，勿扰,2019-07-12,2019.07.25,任务编号：770886,1000.0,3天,福建省-厦门市,厦门视美创联文化传媒,https://shop.epwk.com/3gd2moeepner/,厦门视美创联文化传媒,出售服务,https://shop.epwk.com/3gd2moeepner/chushou/,企业,五品,40分,,,厦门视美创联文化传媒,,微电影,价格面议,广告片,价格面议,宣传片,价格面议,三维动画,价格面议,企业宣传片
【图片处理】手绘一张图片,https://task.epwk.com/770429/,1728人,1人,¥300,圆满完成,o5d19c570e27c1,手绘一张图片具体以实际沟通为准,2019-07-11,2019.07.19,任务编号：770429,300.0,7天,江苏省-南京市-江宁区,拾月设计,https://shop.epwk.com/mod04zg9l5yv/,,,,,,,,,,,,,,,,,,,图片处理
【配音配乐】开机广告音乐制作,https://task.epwk.com/768228/,5189人,10人,¥1500,圆满完成,ZHOUZEY80,"本公司专业生产销售风扇灯企业，现开发智能控制设备，需要一份简短的开机音乐，也可以说公司音乐LOGO，类似大众汽车片尾广告的噔噔声音。要求必须原创，可以申请认证保护，符合公司定位，与公司形象吻合。公司网站：www,zsfengfan.com京东网址：https://mall.jd.com/index-981686.html",2019-07-06,2019.08.16,任务编号：768228,1500.0,"3天,2天,1天,7天,2天,3天,5天,10天,10天","山东省-东营市-广饶县,四川省-成都市-武侯区,广东省-广州市-市辖区,湖北省-武汉市-江夏区,山西省-长治市-潞城市,广东省-茂名市-电白县,福建省-厦门市,江苏省-南通市-海安县,广东省-广州市-番禺区",山东尚艺恒睿文化传媒有限责任公司,https://shop.epwk.com/0jnek330xnv3/,,,,,,,,,,,,,,,,,,,配音配乐
【创意短视频】软件平台宣传影视视频制作,https://task.epwk.com/768188/,2742人,23人,¥1000,圆满完成,o5c52cfb12ea8b,1、视频长度15S2、视频内容为软件平台宣传和使用说明3、1920*1080分辨率；工期：1周,2019-07-06,2019.08.22,任务编号：768188,1000.0,"5天,5天,3天,4天,3天,5天,10天,2天,3天,3天,3天,3天","山东省-枣庄市,广东省-深圳市,上海市-市辖区-黄浦区,浙江省-杭州市-滨江区,福建省-漳州市-芗城区,上海市-市辖区,广西壮族自治区-桂林市-七星区,北京市-北京市-西城区,湖北省-武汉市,北京市-北京市-海淀区,广西-南宁市-市辖区,广东省-广州市",山东叁妖妖文化传媒有限公司,https://shop.epwk.com/m7d7w2wlk5q8/,山东叁妖妖文化传媒有限公司,出售服务,https://shop.epwk.com/m7d7w2wlk5q8/chushou/,企业,七品,40分,,,山东叁妖妖文化传媒有限公司,,平面/LOGO设计,"￥200
            /起",海报插画设计,"￥100
            /起",视频动画制作,价格面议,角色设计IP设计,"￥2000
            /套",创意短视频
【创意短视频】平面改成动态的视频,https://task.epwk.com/767622/,915人,2人,¥300,圆满完成,xiaolululu,有一个ai源文件，是图片，把图片变成动态的视频素材。,2019-07-04,2019.07.06,任务编号：767622,300.0,"3天,1天","四川省-成都市-龙泉驿区,上海市-市辖区-闵行区",肆月动画工作室,https://shop.epwk.com/z2nkzx972nqy/,,,,,,,,,,,,,,,,,,,创意短视频
【图片处理】手绘一张图片,https://task.epwk.com/766300/,1494人,1人,¥300,圆满完成,o5d19c570e27c1,手绘一张图片，图片尺寸是正方形的，具体图片如下图,2019-07-01,2019.07.09,任务编号：766300,300.0,3天,江苏省-南京市-雨花台区,拾月设计,https://shop.epwk.com/mod04zg9l5yv/,,,,,,,,,,,,,,,,,,,图片处理
【剪辑服务】一个1分钟的视频剪辑任务,https://task.epwk.com/765735/,5596人,2人,¥150,圆满完成,qq445****39,一个1分钟的视频剪辑任务，主题是：针对老年人朋友圈子经常出现的养生贴、保健品贴，辟谣(主要是辟谣)。视频素材自行收集整理，只要围绕这个主题就行，只需剪辑合成到1分钟就行了。,2019-06-30,2019.07.10,任务编号：765735,150.0,"1天,1天","四川省-成都市,湖南省-长沙市-开福区",一维光影（四川）文化传媒有限公司,https://shop.epwk.com/qgdmj4gvqdke/,一维光影（四川）文化传媒有限公司,出售服务,https://shop.epwk.com/qgdmj4gvqdke/chushou/,企业,六品,38分,,,一维光影（四川）文化传媒有限公司,,,,,,,,,,剪辑服务
【图片处理】热气球矢量图制作,https://task.epwk.com/765211/,2369人,5人,¥200,圆满完成,rw1991,1.热气球制图任务提供样图和文件后，参照样图制作，定稿后发送AI或者CDR矢量图2.条纹图片制作在提供样品的图片后，参照图片制作，根据要求修改最后定稿发生AI或者CDR文件,2019-06-28,2019.07.01,任务编号：765211,200.0,"2天,2天,1天,1天","云南省-昆明市-官渡区,湖南省-岳阳市-岳阳县,浙江省-杭州市-萧山区,四川省-成都市",颜林时创,https://shop.epwk.com/4rn8qzzj1ngm/,,,,,,,,,,,,,,,,,,,图片处理
【剪辑服务】年会暖场视频剪辑制作,https://task.epwk.com/764902/,2285人,1人,¥1000,圆满完成,k8481****69,已协商好，勿扰,2019-06-27,2019.06.27,任务编号：764902,1000.0,1天,陕西省-西安市,云鳌传媒,https://shop.epwk.com/omdwkmlwxdrp/,云鳌传媒,出售服务,https://shop.epwk.com/omdwkmlwxdrp/chushou/,企业,七品,39分,,,云鳌传媒,,电商短视频拍摄,"￥200
            /次",,,,,,,剪辑服务
【图片处理】手绘一张图片,https://task.epwk.com/758478/,1351人,1人,¥200,圆满完成,xiaolululu,手绘图一张。描述一个清朝县令给送牌匾的场景。即可。风格如附件。,2019-06-11,2019.06.13,任务编号：758478,200.0,2天,湖南省-长沙市,脑洞中枢视觉设计事务所,https://shop.epwk.com/m7d7w2egr5q8/,脑洞中枢视觉设计事务所,出售服务,https://shop.epwk.com/m7d7w2egr5q8/chushou/,企业,三品,75分,,,脑洞中枢视觉设计事务所,,VI设计,"￥3500
            /起",书籍设计,价格面议,,,,,图片处理
【企业宣传片】制作企业宣传片,https://task.epwk.com/757453/,1289人,3人,¥200,圆满完成,o5cfcb1e1c52f7,一分钟的企业宣传视频，可在包图网找模板再更改，需在12号交稿,2019-06-09,2019.06.13,任务编号：757453,200.0,"2天,2天,2天","广东省-广州市-花都区,河北省-石家庄市,山东省-青岛市-黄岛区",广州子非广告传媒有限公司,https://shop.epwk.com/z2nkz939qnqy/,,,,,,,,,,,,,,,,,,,企业宣传片
【创意短视频】视频制作：三国之《智荟谷》,https://task.epwk.com/757298/,1345人,2人,¥1000,圆满完成,tdrx168,小视频：三国之《智荟谷》时间：30-60秒目的：以故事，做智荟谷的宣传，让“智荟谷”三个字深入人心。制作预算：1千元适用平台：今日头条、抖音、公众号文案：午后，诸葛亮和关云长正在帐中喝酒，一兵来报：丞相，孟获率大部人马进犯我军，怎么办？孔明头也不抬：上“智荟谷”。夜晚，诸葛亮于凉亭下，和刘备月下赏花、饮酒。张飞惊慌失措、跌跌撞撞地跑过来，大喊：主公、丞相，曹操亲率百万大军，杀过来了！孔明照样头也不抬，道：上“智荟谷”啊。刘备说“曹贼此番来者不善，军师，你可得想想办法啊”。孔明抚须一笑：智荟谷里，比咱诸葛亮聪明的人多得是，还需要我来想办法吗？呵呵。孔明小抿一口，道：自从有了智荟谷，我才可以天天和主公您一起饮酒、畅谈天下大势啊。“来来来，把酒满上。”孔明一边斟酒，一边笑呵呵的说，根本没把曹军来犯一事放在心上。结尾  A：智荟谷，互联网智慧平台。         B：智荟谷：可为天下事，可用天下才。   （可以按照您的想法调整、修改，做的幽默一些亦可）附件为智荟谷卡通人物：诸葛亮（小智）诸葛亮卡通形象是智荟谷自己创作的，亦有版权保护，所以，应以此为重点和原点。,2019-06-08,2019.06.14,任务编号：757298,1000.0,7天,广西-南宁市-西乡塘区,杜尚丨中洲域设计影视工作室,https://shop.epwk.com/4rn8q32l9ngm/,,,,,,,,,,,,,,,,,,,创意短视频
【创意短视频】视频拍摄,https://task.epwk.com/755943/,1311人,1人,¥8000,圆满完成,k6421****46,送给新郎视频拍摄已谈好了合作,2019-06-06,2019.06.17,任务编号：755943,8000.0,6天,北京市-北京市-朝阳区,艺玮影视,https://shop.epwk.com/omdwk2z9rdrp/,艺玮影视,出售服务,https://shop.epwk.com/omdwk2z9rdrp/chushou/,企业,六品,40分,,,艺玮影视,,年会活动专题片,"￥3000
            /起",多媒体汇报片,"￥3000
            /起",三维动画制作,"￥3000
            /起",Flash动画制作,"￥3000
            /起",创意短视频
【影视拍摄】电商产品拍摄,https://task.epwk.com/756263/,1966人,1人,¥2000,圆满完成,k4386****55,电商的，拍摄产品图片，包括详情页和主图进行设计,2019-06-05,2019.06.11,任务编号：756263,2000.0,10天,福建省-厦门市,厦门视美创联文化传媒,https://shop.epwk.com/3gd2moeepner/,厦门视美创联文化传媒,出售服务,https://shop.epwk.com/3gd2moeepner/chushou/,企业,五品,40分,,,厦门视美创联文化传媒,,微电影,价格面议,广告片,价格面议,宣传片,价格面议,三维动画,价格面议,影视拍摄
