标题,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【新房装修】做一套家装全景效果图,5527人,23人,1000-3000元,圆满完成,新房装修,o5c20a1a50ee83,要求毎个空间需要出效果图，具体详谈,2018-12-24,2019.02.26,任务编号：696278,1350.0,"3天,5天,5天,5天,5天,5天,10天,5天,7天,7天,3天","广西-贺州市,辽宁省-大连市-沙河口区,湖北省-武汉市-市辖区,河南省-郑州市,广东省-广州市-番禺区,辽宁省-丹东市-凤城市,山东省-青岛市,贵州省-贵阳市-乌当区,江苏省-盐城市-射阳县,河南省-濮阳市-华龙区,陕西省-西安市-雁塔区",威创设计工作室,工作室,四品,74分,,,书籍封面设计,价格面议,家装设计,价格面议,SU草图大师制作,价格面议,创意设计：LOGO设计,价格面议,工装设计：庭院,价格面议,工装设计：办公区,价格面议,,,,,,
【施工图设计】毛胚房装修设计,2773人,23人,1000元以内,圆满完成,施工图设计,oyzp1818,一、基本情况：刚交房的毛胚房，三房两厅。期望风格：现代、简约、温馨设计内容：包括室内所有装饰工程，含灯光照明及家具平面布置、装饰品摆设等。二、要求1、 设计需符合要求的设计理念和方案。2、 设计资料：设计说明阐述设计理由，设计图纸详尽、便于施工。3、以原平面图为基础，先出平面图和立面的较复杂部位的立面图，标好色彩和材料及施工工艺，最后再出效果图。4、提供造价及其选材建议。5、后期施工过程能提供解决建议。总之，设计要具有较强的指导作用，设计过程有问题可以随时联系我。身边很都同事朋友都交房了，合作愉快可以帮忙介绍客户。,2018-12-16,2019.02.13,任务编号：693375,999.0,"3天,7天,12天,7天,7天,7天,10天,3天,7天,5天,3天","重庆市-市辖区-万州区,安徽省-滁州市-市辖区,上海市-市辖区,河北省-衡水市-桃城区,江苏省-南通市-港闸区,北京市-北京市-朝阳区,贵州省-贵阳市-乌当区,贵州省-贵阳市-南明区,广西壮族自治区-钦州市-钦南区,安徽省-六安市-市辖区,陕西省-西安市-雁塔区",饭饭设计@_@,,,,,,,,,,,,,,,,,,,,,,,
【效果图设计】室内设计效果图,1527人,5人,1000元以内,圆满完成,效果图设计,o5c038c490ab7c,乔 设计 简单的室内设计效果图 直接微信沟通 不方便电话 贵州贵阳最好 没有也要贵州的服务商 其他区域勿扰。,2018-12-03,2018.12.14,任务编号：688654,500.0,"5天,3天,5天,3天,3天","浙江省-金华市-婺城区,安徽省-合肥市-包河区,江苏省-连云港市-新浦区,贵州省-毕节地区-毕节市,重庆市-市辖区-万州区",三点水设计,,,,,,,,,,,,,,,,,,,,,,,
【庭院设计】自建房室外设计,2734人,12人,1000-3000元,圆满完成,庭院设计,o5bea****31916,自建房，要求有水体（主要为鱼池，面积100-120平米左右），走廊、休闲凉亭、绿化等。需要施工图，效果图。,2018-11-13,2018.11.25,任务编号：681431,1000.0,"8天,20天,3天,15天,7天,5天,10天,6天,3天,7天,7天,15天","山东省-淄博市,浙江省-丽水市,福建省-厦门市,广东省-广州市-天河区,上海市-市辖区,山西省-大同市-市辖区,四川省-成都市,四川省-成都市,江苏省-常州市-天宁区,重庆市-重庆市-沙坪坝区,云南省-昆明市-盘龙区,山东省-日照市-东港区",艺源三地景观工作,,,,,,,,,,,,,,,,,,,,,,,
【效果图设计】办公楼装修设计,4578人,32人,5000-10000元,圆满完成,效果图设计,miaohan0823,1800平左右办公楼装修设计，功能分区已经设定好。需要出施工图效果图。,2018-11-05,2018.11.30,任务编号：678330,5800.0,"5天,7天,20天,7天,7天,10天,10天,10天,10天,10天","上海市-市辖区,湖北省-武汉市-洪山区,上海市-市辖区-黄浦区,湖北省-荆州市-松滋市,北京市-北京市-大兴区,黑龙江省-牡丹江市-爱民区,山东省-烟台市,北京市-北京市-海淀区,广东省-广州市-番禺区,四川省-成都市",友度品牌设计,,,,,,,,,,,,,,,,,,,,,,,
【其他家装服务】毛坯房新房设计,3174人,5人,1000-3000元,圆满完成,其他家装服务,o5bc74020d87de,1，面积104平，公摊面积大，使用面积86多一点，实际跟图纸有一些细微差别，户型是一样的2.  风格现代简约中式，以实用简洁为主，方便打扫，卫生间最好做三式分离，坐便洗浴脸盆隔开，洗衣机放不下就做到北阳台或者客厅，坐便想做挂壁式的，最好能放下坐式小浴缸，实在放不下也可以不装，客厅能有个专门放电脑的地方，次卧可以做成榻榻米式的，如果有更好的设计也可以换，灯具不用太花哨，以实用为主，厨房上柜别弄太多不实用的柜子，打算用集成灶和洗碗机3，全套图纸，直接就能施工的价格可以再议,2018-10-17,2018.11.12,任务编号：671283,1000.0,"5天,5天,5天,7天,5天","重庆市-市辖区-万州区,广东省-深圳市-南山区,辽宁省-沈阳市-和平区,广东省-东莞市-东莞市,河南省-南阳市-宛城区",饭饭设计@_@,,,,,,,,,,,,,,,,,,,,,,,
【效果图设计】火锅店效果图设计,2167人,18人,1000元以内,圆满完成,效果图设计,mf188****9230,我需要火锅店的设计效果图，总共120平，预计在1000元左右,2018-10-14,2018.11.01,任务编号：669852,800.0,"4天,4天,3天,5天,5天,4天,5天,3天,3天,7天,3天,4天","河南省-南阳市-宛城区,广东省-深圳市-宝安区,四川省-成都市-青白江区,江苏省-南京市,浙江省-杭州市-西湖区,四川省-成都市,浙江省-宁波市-镇海区,重庆市-重庆市-南岸区,湖北省-荆州市-沙市区,湖北省-武汉市-武昌区,湖南省-长沙市-岳麓区,四川省-成都市",南阳佳誉设计工程有限公司,,,,,,,,,,,,,,,,,,,,,,,
【新房装修】实际面积100平米3室2厅室内设计,5381人,46人,1000-3000元,圆满完成,新房装修,夏致画艺,（1）现代简约风格，暂时没有敲定具体意向。但附图是主要设计方向（2）硬装总共控制在15万的样子。,2018-09-18,2018.10.13,任务编号：661704,1500.0,"5天,10天,7天,2天,15天,10天,5天,7天,10天,3天,4天,2天","重庆市-市辖区-万州区,江苏省-连云港市,广东省-广州市,山东省-济南市-历下区,北京市-北京市-朝阳区,四川省-成都市-武侯区,江苏省-连云港市-赣榆县,四川省-成都市-成华区,云南省-丽江市-古城区,山东省-青岛市-崂山区,广东省-深圳市-罗湖区,安徽省-合肥市-包河区",饭饭设计@_@,,,,,,,,,,,,,,,,,,,,,,,
【店铺厂房】商场6米宽花店门脸草图设计,2268人,12人,1000元以内,圆满完成,店铺厂房,o5b98786d79038,商场内6米宽花店门脸设计及几个公共区域的装饰草图,2018-09-12,2018.12.25,任务编号：659239,600.0,"3天,3天,7天,7天,2天,7天,2天,3天,3天,6天,3天","福建省-厦门市,广东省-深圳市,湖北省-武汉市-江汉区,广东省-广州市-天河区,河北省-邯郸市-市辖区,北京市-北京市-大兴区,北京市-北京市-朝阳区,四川省-达州市-达县,江苏省-常州市-天宁区,辽宁省-大连市,山西省-大同市-南郊区",走心建筑设计,,,,,,,,,,,,,,,,,,,,,,,
【其他家装服务】毛坯房新房设计,3127人,19人,1000元以内,圆满完成,其他家装服务,mf139****3077,一套 139平米的  毛坯房需要 设计,2018-09-03,2018.09.23,任务编号：656190,999.0,"5天,5天,2天,4天,7天,3天,3天,5天,3天,7天,7天,7天","重庆市-市辖区-万州区,广东省-佛山市-顺德区,黑龙江省-哈尔滨市-宾县,云南省-昆明市,福建省-泉州市-晋江市,福建省-厦门市,浙江省-绍兴市-诸暨市,河南省-南阳市-宛城区,江苏省-常州市-武进区,浙江省-金华市-婺城区,辽宁省-大连市-甘井子区,北京市-北京市",饭饭设计@_@,,,,,,,,,,,,,,,,,,,,,,,
【效果图设计】4s展厅立面效果图,3109人,1人,1000-3000元,圆满完成,效果图设计,中帝商贸,4s展厅立面效果图 具体详谈,2018-08-28,2019.01.21,任务编号：654084,1000.0,5天,广东省-深圳市-福田区,魔术橙红创意设计,企业,六品,39分,,,LOGO商标设计,"￥999
            /件",VI视觉识别系统设计,"￥2499
            /起",海报设计,"￥499
            /页",电商详情,"￥999
            /起",室内设计,"￥299
            /㎡",影视后期制作,"￥699
            /秒",3D制作,"￥699
            /件",产品宣传片,"￥699
            /秒",画册设计,"￥199
            /页"
【效果图设计】房屋装修效果图施工设计,2498人,36人,1000-3000元,圆满完成,效果图设计,billmeng,请根据附件的房子平面图，帮我先优化布局，合理规划各个功能区，然后出一套完整的装修设计，施工，效果图纸。总体设计风格：现代简约或加简欧，明亮大方、温馨实用。 如我方认为个别地方不太合理，或需要调整，有权要求中标者在规定的合理时间内按照我方的要求进行局部修改，但此项修改不涉及费用增加，合格后方可通知支付悬赏金。为达到设计效果，必须附有主要的施工工艺说明及施工注意事项的说明资料。要让施工队看的懂的，尽量详细一点。在装修过程当中，如果遇到有不明白的地方，可以及时沟通。,2018-08-13,2019.08.03,任务编号：648801,1000.0,"8天,7天,3天,10天,5天,5天,7天,3天,7天,8天,7天,6天","河南省-郑州市-金水区,广东省-深圳市-宝安区,湖南省-邵阳市,山东省-临沂市-罗庄区,北京市-北京市-朝阳区,山东省-聊城市,广东省-深圳市-南山区,湖南省-衡阳市-耒阳市,山东省-淄博市-淄川区,浙江省-宁波市-奉化市,广东省-中山市-中山市市辖区,广东省-东莞市",o5b7b631d473d8,,,,,,,,,,,,,,,,,,,,,,,
【办公空间】办公室装修设计,2895人,26人,1000-3000元,圆满完成,办公空间,洪少,小型办公室装修设计：      风格小清新，敞开式办公，办公人员只有10位；     有门的是西边，门口是公共走道；墙分两部分，上面是透明玻璃，下面是实体墙，墙高度90公分；    南边是朝阳的一面，铝合金玻璃窗户，窗户外是3米宽的露天阳台，可以推窗出门！    室内有个L型的结构，L型的部分是空的，未来L型的部分准备用着仓库；但是墙可以美化一下；    室内有总经理办公室（独立的）+ 喝茶、投影的地方（可独立、可和总经理办公室在一起）   顶部是石膏板吊顶，不动了，但是可以考虑喷成其它颜色！如果需要CAD图，可以提供！提供一张设计效果图，不要施工图,2018-08-02,2018.09.18,任务编号：644497,700.0,"7天,1天,5天,2天,1天,5天,5天,6天,1天,5天,5天","广东省-广州市-天河区,上海市-市辖区,北京市-北京市,天津市-天津市-滨海新区,广东省-深圳市-福田区,山西省-太原市-小店区,浙江省-杭州市,江苏省-常州市-天宁区,江西省-南昌市,广东省-广州市-天河区,山东省-青岛市",友度品牌设计,,,,,,,,,,,,,,,,,,,,,,,
【效果图设计】实体店效果图设计,1700人,24人,1000元以内,圆满完成,效果图设计,o5b4047c6c1b1a,一个20平方的门面，打算经营精品女装，门面虽然小需要做出精致有特色的精品女装店，主要经营韩版加欧美大牌风的精品女装店，就是那种原创精品女装。需要软装硬装一起的效果施工图,2018-07-07,2018.08.21,任务编号：634351,600.0,"3天,5天,5天,3天,6天,7天,2天,7天,3天,7天,4天,3天","河南省-郑州市-中牟县,重庆市-市-永川市,浙江省-杭州市-江干区,广东省-广州市-番禺区,江苏省-常州市-天宁区,广东省-广州市-天河区,浙江省-杭州市,江苏省-连云港市,宁夏-银川市-兴庆区,广东省-东莞市-东莞市,北京市-北京市,山东省-淄博市-张店区",厚名设计工作室,工作室,五品,28分,,,设计,￥1200,家装设计,￥150,,,,,,,,,,,,,,
【其他家装服务】照相馆店铺室内及门头设计,2602人,9人,1000元以内,圆满完成,其他家装服务,木易影视工作室,店铺名称：木易  最美证件照专营店主营：最美证件照，轻写真。门头大小：长11m宽1.57m门头要求：简约醒目，店内北欧风设计，要能搭配上门头预期效果：美观的同时通过设计减少材料费。室内设计要求：北欧风装饰，室内灯光、装饰、家具摆放，区分功能区（主要区域为影棚，休息区，卫生间，化妆桌，修图桌），需要帮忙设计装饰品摆放和空间的规划。风格参考最后图片（南墙窗户长1.4m宽0.86m，北墙窗户长2.35m宽1.86m）,2018-07-04,2018.07.17,任务编号：633145,800.0,"5天,6天,4天,7天,2天,3天,6天,7天","福建省-厦门市,河南省-南阳市-宛城区,河北省-秦皇岛市-海港区,浙江省-杭州市,河北省-沧州市-运河区,湖北省-十堰市,上海市-市辖区-浦东新区,湖北省-荆州市-松滋市",走心建筑设计,,,,,,,,,,,,,,,,,,,,,,,
【效果图设计】生态环保集销展览一体店铺效果图制作,1062人,2人,1000元以内,圆满完成,效果图设计,像风一样123,我们是一家环保企业，想打造一个参观与销售为一体的展厅，主要产品，生态鸡蛋，生态鸡肉等。店铺要突出环保、绿色、生态的感觉。面积30平米，长6.3m，宽4.8m，高2.7m。,2018-06-29,2018.07.16,任务编号：631271,800.0,6天,江苏省-常州市-天宁区,常州九州设计,,,,,,,,,,,,,,,,,,,,,,,
【效果图设计】厂房鸟瞰图设计,1189人,1人,1000元以内,圆满完成,效果图设计,seamansign,具体QQ 沟通，共个区域（两个厂房，一个办公楼），只需要一个整体鸟瞰图。,2018-06-12,2018.06.30,任务编号：625374,600.0,9天,江苏省-常州市-戚墅堰区,常州九州设计,,,,,,,,,,,,,,,,,,,,,,,
【其他建筑设计】新农村整体规划设计,2916人,7人,1000-3000元,圆满完成,其他建筑设计,o5959d8972ca17,前期平面规划布局，鸟瞰图，及平面布局图，要求红线内除堂屋不动外，都可重新规划，必须规划9栋房子，详细见航拍图及平面草图,2018-06-11,2018.07.08,任务编号：624843,2800.0,"8天,7天,2天,7天,7天,7天,5天","福建省-厦门市,广东省-惠州市-惠城区,广西-防城港市,广东省-深圳市,山东省-泰安市-泰山区,山东省-淄博市,广东省-深圳市-宝安区",走心建筑设计,,,,,,,,,,,,,,,,,,,,,,,
【效果图设计】家里装修效果图设计,2331人,26人,1000元以内,圆满完成,效果图设计,o5b10e5dbbf11f,有cad图纸。已有设计师做过方案，效果图需要修改，单设计师临时家里有急事。有意向者可加我微信,2018-06-02,2018.06.06,任务编号：621421,800.0,"3天,3天,5天,3天,3天,5天,2天,5天,1天,3天,5天,2天","广东省-广州市-白云区,北京市-北京市-昌平区,江苏省-连云港市,福建省-福州市,福建省-厦门市-思明区,四川省-成都市,江苏省-常州市-天宁区,江苏省-常州市-金坛市,河北省-保定市-新市区,河北省-唐山市-路北区,湖北省-襄樊市,湖北省-十堰市",道恩空间美学设计,个人,七品,38分,,,,,,,,,,,,,,,,,,,,
【效果图设计】进口啤酒休闲馆,870人,2人,1000-3000元,圆满完成,效果图设计,mf138****8669,进口啤酒休闲馆，要有格调、简单、时尚，可以参照一下珠三角城市进口啤酒静吧（比如广州103世界啤酒屋等）。主要做吧台、酒架、座椅摆设、灯光，卫生间要重新布置（这个要考虑下，因为客户都怕卫生间离得太近，最好能完美的间隔开）。我们初步计划：安装玻璃门、铺设瓷砖、墙面用水泥砂浆面，,2018-05-13,2018.05.21,任务编号：613069,1000.0,5天,福建省-厦门市,昆明众石嘉创文化传播,企业,一品,39分,,,资深设计师/医疗/慈善/商业/零售/服务标志商标logo设计,"￥1299
            /起",包装盒设计,￥1000,食品包装设计,￥1888,园林/庭院/花园/室内景观/屋顶花园 规划设计,"￥1000
            /起",3D建模,"￥500
            /起",3D设计公装渲染图,"￥60
            /平方",酒水月饼礼盒食品/茶/饮品/农产品,"￥300
            /页",创城、创文多折页设计/家居装修/金融保险/产品推介,"￥300
            /页",餐饮/娱乐/旅游VI设计专属定制全套vi视觉系统设计,"￥9999
            /套"
【效果图设计】有4份平面布局图，需配搭并制作效果图,1185人,2人,1000元以内,圆满完成,效果图设计,Mr186****2683,有4份平面布局图，需设计师配搭并制作效果图,2018-04-17,2018.04.25,任务编号：603393,400.0,"4天,8天","辽宁省-大连市,河南省-南阳市-宛城区",ZM个人设计工作室,,,,,,,,,,,,,,,,,,,,,,,
【效果图设计】三室两厅的房屋装修图设计,2411人,26人,1000-3000元,圆满完成,效果图设计,o5ad16f4f037c7,求三室两厅约120平米的房屋装修图，风格要求现代简约舒适版,2018-04-14,2018.05.15,任务编号：602413,1000.0,"5天,4天,4天,3天,7天,5天,5天,5天,15天,3天,7天","重庆市-市辖区-万州区,河南省-开封市-市辖区,辽宁省-大连市-甘井子区,山西省-长治市-城区,浙江省-金华市-婺城区,江苏省-南京市,广东省-深圳市-宝安区,上海市-市辖区-长宁区,广东省-广州市-番禺区,广东省-深圳市-福田区,江苏省-盐城市-射阳县",饭饭设计@_@,,,,,,,,,,,,,,,,,,,,,,,
【效果图设计】公司外墙门面设计和进门背景墙设计,1153人,4人,1000-3000元,圆满完成,效果图设计,o5a9b520534cdf,公司名字是昌泰云（Foreversafe），和logo 一起放在最高的位置，顶楼的柱子上，需要做整个门面的设计（1层2层和栏杆，左侧的柱子），门面3D出图，要求可以展现我们是一家科技型互联网公司。最好可以体现我们的业务：云服务基础设施及运维专家。还有背景墙设计.二楼飘檐出计划放4台空调外机，如何设计好看。,2018-03-09,2018.03.24,任务编号：588908,1600.0,"3天,3天,5天,3天","上海市-市辖区,江苏省-宿迁市,广东省-深圳市,黑龙江省-哈尔滨市-平房区",上海暔尚广告设计公司,企业,二品,65分,,,ps平面设计包装宣传单册广告logo彩页画册喷绘排版易拉宝海报设计,价格面议,客厅电视背景墙装修效果图片制作家装室内设计图服务家居房子吊顶,价格面议,高端VI设计 品牌形象VIS设计 公司logo企业全套视觉识别系统设计,价格面议,招牌设计 店面门头设计效果图 实体店铺设计 广告牌匾 门面设计,"￥100
            /起",高端包装设计化妆食品饮料彩酒袋定制瓶贴纸外盒茶叶产品平面设计,"￥100
            /起",公司企业平面设计广告产品宣传册画册设计海报传单三折页设计印刷,"￥100
            /起",,,,,,
【效果图设计】工厂结构图设计一期,1076人,1人,3000-5000元,圆满完成,效果图设计,o58cf2c77919c0,工厂结构图设计一期,2018-03-07,2018.06.25,任务编号：587877,3000.0,7天,广东省-深圳市,映善中国,,,,,,,,,,,,,,,,,,,,,,,
【施工图设计】办公室效果图和施工图设计,2079人,5人,5000-10000元,圆满完成,施工图设计,o59e1bca53dacc,办公室设计效果图和施工图建筑面积500平,2018-02-26,2018.03.16,任务编号：584309,7500.0,"7天,20天,30天,15天,15天","广东省-深圳市-福田区,黑龙江省-哈尔滨市-平房区,河南省-南阳市-宛城区,广东省-深圳市-龙岗区",映善中国,,,,,,,,,,,,,,,,,,,,,,,
【施工图设计】自住单元房施工图效果图设计,2228人,15人,1000-3000元,圆满完成,施工图设计,o5a8e386b92252,133平三室二厅自住单元房施工图效果图设计一、主要要求及条件：1、期望风格：混搭、简约、楼层为三楼光线较昏暗所以色调以明亮为主。2、居住：主要是中老年人居住、以生活便利为主。3、室内采用市政地暖并全部铺设瓷砖、不改动墙体结构、墙体采用白色乳胶漆、现已有家具红木沙发一套和红木餐桌椅一套、卫生间均干湿分离、洗浴热水采用燃气热水器（放置于厨房，与卫生间管道连接）、卫生间采用电动智能马桶预留插座、空调为一室一机、客厅餐厅主卧室设计吊顶其余房间不用、房间飘窗下均设计为地柜。4、设计内容：包括室内所有装饰工程，含灯光照明及家具平面布置、装饰品摆设等（不含厨房）。 二、 对交稿要求1、 设计需符合要求的设计理念和方案。2、 设计资料：设计说明阐述设计理由，设计图纸详尽、便于施工。3、 竞标人员以原平面图为基础，先出平面图和立面的较复杂部位的立面图，标好色彩和材料及施工工艺，修改同意后再出效果图，需要提供客；餐厅、卧、卫生间（不含厨房）等室内空间的效果图。三、 设计后须提供的资料：1、 平面、立面图：要求详细注明各工作区和功能区名称；有高差变化时须注明标高； 2、需附有主要的施工工艺说明及施工注意事项的说明资料；3、 装修配置选用原则：配置材料或设计选用的同档次材料应尽可能在市场上能购买。4、 效果图：客餐厅、卧室及卫生间等（不含厨房）；要能清楚的看到各角度的墙面、地面及吊顶；效果图纸应包括每个房间（家具、电器和灯饰的摆放)及通道的效 果；均需使用3D制作。必须要有详细施工图纸一套（平面设计图（CAD格式），给水走向图、装修平面图，吊顶图、地面铺装材料图，立面装修图，配电系统图、强弱电路图，电灯插座、开关控制布置，主要立面图，节点大样图等 ，说明所需材料数量方便事先备料。总之，我拿着上述资料找到施工队就可以完全按方案装修。 四、 知识产权说明： 所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任; 请查阅任务需求，直接投稿。,2018-02-22,2018.07.22,任务编号：583286,1000.0,"7天,12天,3天,4天,1天,7天,15天,5天,5天,10天,5天,7天","河南省-南阳市-镇平县,浙江省-杭州市-拱墅区,重庆市-重庆市-南岸区,广东省-珠海市-香洲区,黑龙江省-哈尔滨市-平房区,四川省-泸州市-江阳区,江苏省-连云港市-灌南县,河北省-邯郸市-曲周县,湖北省-武汉市-市辖区,广东省-广州市-天河区,重庆市-市辖区-万州区,江苏省-南京市-市辖区",南阳佳誉设计工程有限公司,,,,,,,,,,,,,,,,,,,,,,,
【餐饮饮食】咖啡店面装修设计,3730人,14人,1000-3000元,圆满完成,餐饮饮食,o5a684f765f4d7,希望按照咖啡店的模式进行设计，目标客户群是在校学生。要求：时尚、静怡、有吸引年轻人的特色；希望设计内容能详细到具体材料、装修的参考价格等，我们将直接根据设计图纸进行装修。尺寸请参见附件。,2018-01-24,2018.03.07,任务编号：577325,2720.0,"7天,9天,5天,6天,5天,5天,7天,30天,10天,3天,7天","陕西省-西安市-未央区,广东省-广州市-市辖区,吉林省-长春市-二道区,福建省-厦门市-思明区,福建省-漳州市-诏安县,北京市-北京市-朝阳区,河南省-郑州市-市辖区,北京市-北京市-朝阳区,湖北省-武汉市-武昌区,安徽省-铜陵市-市辖区,四川省-成都市-武侯区",杳xSPACE,,,,,,,,,,,,,,,,,,,,,,,
【其他家装服务】新房装修效果图和施工图设计,4597人,24人,1000元以内,圆满完成,其他家装服务,o5a56abbcef749,设计一套装修方案，效果图和施工图,2018-01-11,2018.03.19,任务编号：572325,999.0,"5天,10天,8天,5天,4天,5天,7天,5天,5天,7天,5天,5天","重庆市-市辖区-九龙坡区,北京市-北京市,吉林省-长春市-朝阳区,辽宁省-大连市-中山区,河北省-衡水市-市辖区,湖北省-武汉市-洪山区,上海市-上海市-浦东新区,山东省-济南市-历城区,江苏省-南京市-浦口区,广东省-深圳市-南山区,福建省-漳州市-诏安县,广西-南宁市-青秀区",饭饭设计@_@,,,,,,,,,,,,,,,,,,,,,,,
【施工图设计】农村自建效果图设计,2342人,11人,1000-3000元,圆满完成,施工图设计,bety123,自建一个小屋，平房，10米（宽）*6米(深），需要施工图，效果图，水电及初步预算。最右侧是厨房+餐厅，中间客厅，最左侧是卫生间+杂物间。比较简单，一字屋。浙江优先。,2018-01-03,2018.01.18,任务编号：569695,1000.0,"3天,5天,10天,3天,6天,5天,1天,7天,4天,3天","山东省-日照市-东港区,江苏省-南京市-浦口区,江苏省-连云港市-灌南县,河北省-邯郸市-曲周县,江西省-南昌市-青云谱区,浙江省-金华市-磐安县,黑龙江省-哈尔滨市-平房区,河南省-焦作市-解放区,北京市-北京市-通州区,山东省-济南市-历下区",创易建筑设计室,企业,四品,39分,,,【省平台，七年工作室】自建房、别墅设计 国内外工程实例,价格面议,,,,,,,,,,,,,,,,
【施工图设计】楼体亮化工程施工图纸,2058人,2人,1000元以内,圆满完成,施工图设计,king3****08,楼体亮化工程施工图纸，价格工期再议、细节电话联系！,2017-12-24,2017.12.26,任务编号：566588,800.0,"1天,1天","河南省-焦作市-中站区,黑龙江省-哈尔滨市-平房区",枫林空间设计工作室,,,,,,,,,,,,,,,,,,,,,,,
【单身公寓设计】新房装修设计,3693人,35人,1000元以内,圆满完成,单身公寓设计,我路过99,清水房，新房装修设计。有CAD平面图，立面图，电气平面图，无结构图。有量房尺寸，清水房，想要家装设计，马上自己装修。房子80多平建筑面积，小套三，保留三个卧室。本人女，想要设计成适合居住温馨的感觉，看起来像有烟火气息，还要特别需要注重空间的利用，合理布局。房子以后可能会涉及到出租，需要综合考虑。,2017-12-22,2018.01.08,任务编号：566133,500.0,"3天,18天,3天,5天,3天,3天,5天,3天,2天,3天,5天","广东省-深圳市-市辖区,广东省-广州市-天河区,山东省-德州市-德城区,浙江省-杭州市-余杭区,四川省-成都市-青羊区,浙江省-杭州市-西湖区,黑龙江-哈尔滨市-呼兰区,吉林省-长春市-二道区,江苏省-南京市-浦口区,湖北省-武汉市-黄陂区,广东省-东莞市-东莞市市辖区",做设计的华仔,,,,,,,,,,,,,,,,,,,,,,,
【其他家装服务】117平米新房室内装修设计,4506人,8人,1000-3000元,圆满完成,其他家装服务,o5a37****76394,风格：现代、简约、时尚，布局：不复杂不凌乱，简单大方，环保为主求设计装饰高手。基本情况：1、大小：产权面积为117平方米，三房二厅一卫，框架结构（套内墙可拆，户型可稍作改动），户型结构及基本平面图见附图2、 设计内容：包括室内所有装饰工程，含灯光照明、强弱电、给排水工程及家具平面布置、装饰品摆设等。3、 期望风格：现代、简约、时尚风情。4、 居住：一家五口5、因户型面积不大，总体设计一定要尽量使空间显得开阔，要求最佳利用空间，注意收纳处理。6、强电：根据功能和设计，请给出各房间照明建议。7、弱电：客厅、主卧、次卧、书房均需有网线、有线电视接口。8、 其它要求：（1）入门右侧为鞋柜，再设计个吧台，过道的墙面布置设计。（2）墙面可采用布纹墙纸或墙布。（3）主卧次卧都放一张1.8*2米的床，温馨、有朝气。（4）靠近卫生间的为儿童房（不希望太幼稚，考虑到孩子在成长）。因小孩东西比较多，需多考虑空间利用。房内有书桌、衣柜，1.5米的床，书桌和书架最好一体，以节省空间。（5）3个飘窗可以好好设计，都要做防水。（6）2个阳台均做封阳台（7）厨房要求设计开放式，预留双开门冰箱（深宽高790*980*1886）位置，油烟机是欧式的（长宽高895*505*588）。（8）卫生间里仅有淋浴房和马桶，马桶上方安放电热水器，洗脸池设计在卫生间外面。（9）设计个衣帽间。（10）阳台设计个洗衣池。 二、 中标条件：（对交稿要求）1、 设计需符合要求的设计理念的方案。2、 设计资料：设计说明阐述设计理由，设计图纸详尽、便于施工。3、 竞标人员以原平面图为基础，先出平面图和立面的较复杂部位的立面图，标好色彩和材料及施工工艺，修改同意后再出效果图效果图，需要提供客厅、餐厅、主卧室、2个次卧、厨房、卫生间、阳台等室内所有空间的效果图。三、 中标后须提供的资料：1、 平面、立面图：要求详细注明各工作区和功能区名称；有高差变化时须注明标高；2、需列一份具体的采购主材和辅材的详细清单及参考价格（由于本人对材料完全不懂），设计师对设计的方案根据双方交流能进行合理、及时修改。 3、 需附有主要的施工工艺说明及施工注意事项的说明资料；4、 装修配置选用原则：配置材料或设计选用的同档次材料应尽可能在市场上能购买（个别位置除外）。5、 效果图：客餐厅、厨房、卧室、阳台及卫生间等；要能清楚的看到各角度的墙面、地面及吊顶；效果图纸应包括每个房间（家具、电器和灯饰的摆放)及通道的效 果；均需使用3D制作。必须要有详细施工图纸一套（平面设计图（CAD格式），装修平面图，吊顶图，立面装修图，地板布置图、强弱电路图（弱电包括电话、 网络、电视），电灯插座、开关控制布置，地面防水处理、给排水路图，主要立面图，节点大样图等 .总之，我拿着上述资料找到施工队就可以完全按方案装修。 四、 知识产权说明： 所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任; 请查阅任务需求，直接投稿。,2017-12-22,2018.01.17,任务编号：565950,1999.0,"5天,7天,15天,10天,20天,3天,3天,15天","重庆市-市辖区-九龙坡区,安徽省-宿州市-灵璧县,广东省-广州市-天河区,河南省-郑州市-中牟县,江苏省-连云港市-灌南县,山东省-济南市-历下区,安徽省-合肥市-包河区,黑龙江省-哈尔滨市-平房区",饭饭设计@_@,,,,,,,,,,,,,,,,,,,,,,,
