标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9,能力标签
【淘宝/天猫代运营】微信公众号运营，订阅号+服务号,https://task.epwk.com/799689/,1977人,2人,1000-3000元,圆满完成,o5d920c677dc4a,微信公众号运营，订阅号+服务号,2019-10-04,2019.11.01,任务编号：799689,2000.0,"30天,20天","山东省-青岛市-黄岛区,江苏省-无锡市-滨湖区",慕容网络,https://shop.epwk.com/qgdmj4jo8dke/,慕容网络,出售服务,https://shop.epwk.com/qgdmj4jo8dke/chushou/,企业,四品,44分,,,慕容网络,,百度/微博/新浪/网易/腾讯/虎嗅/人民日报等自媒体文案发表,"￥300
            /套",公众号代运营/软文代写/微信软文/微博软文/自媒体软文等,"￥200
            /起",新店促销/千字100起/下单立减50元,"￥100
            /起",淘宝详情页/店铺整装/主图设计/美工设计,"￥500
            /套",logo设计/创意logo/品牌logo/注册商标,"￥800
            /起",中高端包装设计/创意包装/外包装/内包装等,"￥800
            /起",工业/农业/经济/杂志/宣传册/刊物等设计,"￥100
            /起",医学/经济/电力/环保/水利/化工/材料等普刊/核心期刊,"￥800
            /起",品牌策划,￥1500,淘宝/天猫代运营
【营销解决方案】VR体验馆营销策划,https://task.epwk.com/795720/,1356人,1人,1000元以内,圆满完成,k7847****76,姓名：刘先生   山东临沂行业：vr体验馆需求：营销策划，开业一段时间的，效果不理想，想要策划一些活动配合国庆节，增加客流量工期：7天左右预算：根据沟通注意：不限地域      推广员小曾推荐,2019-09-20,2019.10.16,任务编号：795720,800.0,7天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",营销解决方案
【活动策划】活动方案修改,https://task.epwk.com/795380/,1256人,1人,1000-3000元,圆满完成,k3739****76,"项目:活动方案修改称呼:陈先生地区:北京市,北京市需求:自己已经做了活动方案，感觉不是太完善，要找专业的在完善一下",2019-09-19,2019.09.25,任务编号：795380,1000.0,1天,山东省-青岛市-崂山区,光影品牌策划,https://shop.epwk.com/89dvgrvjwdl2/,光影品牌策划,出售服务,https://shop.epwk.com/89dvgrvjwdl2/chushou/,企业,三品,45分,,,光影品牌策划,,活动策划方案撰写（线上&线下）,"￥999
            /起",商业计划书撰写,￥5000,折页/画册设计,"￥299
            /页",企业标志设计,￥5000,创意海报设计,"￥999
            /起",,,,,,,,,活动策划
【整合营销】微信公众号推广,https://task.epwk.com/787452/,5296人,1人,1000元以内,圆满完成,o5d648356c3047,关注微信公众号（水产养殖方面的内容），并做邀请登记。具体详谈,2019-08-27,2019.09.27,任务编号：787452,120.0,1天,四川省-成都市,腾际品牌管理,https://shop.epwk.com/3gd2mor7gner/,腾际品牌管理,出售服务,https://shop.epwk.com/3gd2mor7gner/chushou/,企业,四品,54分,,,腾际品牌管理,,百度百科搜狗互动企业品牌人物APP词条创建编辑,"￥100
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划,"￥100
            /起",商务商业计划书**策划书招商路演项目可行性研究报告**作,"￥100
            /起",招商策划商务合作拓展餐饮美容健身教育培训机构营销策略品牌,"￥100
            /起",代做可行性研究报告修改立项审批项目建议书资金申请可研报,"￥100
            /起",创业商业计划书**策划书招商项目路演可行性研究报告,"￥100
            /起",商业计划书招商计划书**路演创业可行性研究报告策划书,"￥100
            /起",企业画册logo标志设计产品册设计菜谱菜单广告封面画册设计,"￥100
            /起",PPT设计定制作演讲工作汇报路演招商课件企业介绍动态美,"￥100
            /起",整合营销
【产品推广】个人微信网络推广,https://task.epwk.com/779048/,1889人,1人,1000-3000元,圆满完成,o5d4563a7c0331,我需要： 用我们提供的数据，数据就是手机号。长期有任务！价格另议！有技术的速联系！主要用途：用于营销数量：不限制工期：详谈、长期,2019-08-04,2019.08.12,任务编号：779048,1000.0,5天,江苏省-连云港市-市辖区,Durant丶,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,产品推广
【活动策划】闲鱼点想要,https://task.epwk.com/756507/,2670人,2人,1000元以内,圆满完成,o5cf7dd9dab4bb,"闲鱼点想要,详谈预算100元",2019-06-05,2019.06.06,任务编号：756507,100.0,"1天,1天","四川省-绵阳市,云南省-曲靖市-宣威市",腾际品牌管理,https://shop.epwk.com/3gd2mor7gner/,腾际品牌管理,出售服务,https://shop.epwk.com/3gd2mor7gner/chushou/,企业,四品,54分,,,腾际品牌管理,,百度百科搜狗互动企业品牌人物APP词条创建编辑,"￥100
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划,"￥100
            /起",商务商业计划书**策划书招商路演项目可行性研究报告**作,"￥100
            /起",招商策划商务合作拓展餐饮美容健身教育培训机构营销策略品牌,"￥100
            /起",代做可行性研究报告修改立项审批项目建议书资金申请可研报,"￥100
            /起",创业商业计划书**策划书招商项目路演可行性研究报告,"￥100
            /起",商业计划书招商计划书**路演创业可行性研究报告策划书,"￥100
            /起",企业画册logo标志设计产品册设计菜谱菜单广告封面画册设计,"￥100
            /起",PPT设计定制作演讲工作汇报路演招商课件企业介绍动态美,"￥100
            /起",活动策划
【微信推广】荔枝微课推广,https://task.epwk.com/751334/,1504人,1人,1000元以内,圆满完成,changfeng,荔枝微课推广，这个课程都是有通过审核的，增加人气，具体详谈,2019-05-24,2019.05.24,任务编号：751334,250.0,2天,江西省-南昌市-青山湖区,悟空网络工作室,https://shop.epwk.com/0z5o49yelnjq/,悟空网络工作室,出售服务,https://shop.epwk.com/0z5o49yelnjq/chushou/,个人,七品,27分,,,悟空网络工作室,,闲鱼推广,1,app邀请新人下载推广游戏注册好友广告牌 用户新增 新用户  邀请,"￥4
            /件",,,,,,,,,,,,,,,微信推广
【微信推广】荔枝微课推广,https://task.epwk.com/749965/,1820人,3人,1000元以内,圆满完成,changfeng,荔枝微课推广，这个课程都是有通过审核的，增加人气，具体详谈,2019-05-21,2019.05.23,任务编号：749965,250.0,"7天,5天,7天","贵州省-贵阳市-南明区,山东省-潍坊市,四川省-绵阳市",悟空网络工作室,https://shop.epwk.com/0z5o49yelnjq/,悟空网络工作室,出售服务,https://shop.epwk.com/0z5o49yelnjq/chushou/,个人,七品,27分,,,悟空网络工作室,,闲鱼推广,1,app邀请新人下载推广游戏注册好友广告牌 用户新增 新用户  邀请,"￥4
            /件",,,,,,,,,,,,,,,微信推广
【活动策划】活动策划方案制作,https://task.epwk.com/740023/,2542人,13人,1000元以内,圆满完成,mf189****9572,策划一个教育培训学校开业的活动方案。学校位于县城内，常住人口老人和小孩居多，消费能力中档。学校前期主要针对小学，初中，高中课外辅导培训及升学衔接课程。方案要求：1.快速吸引学生及家长的关注；2.步骤清楚(每一步的执行时间和所需要的时间及所需人工等)，思路清晰；3.方案符合县城当地情况(如消费能力，接受能力等)；4.方案要考虑后续的持续影响能力，比如此次活动结束后，怎样留住学生及让已经报名的学生及家长参与到宣传当中，吸引更多的生源。注意：此任务为投标模式，请勿直接投稿，待雇主选择中标并托管赏金后，再进行活动策划创作。,2019-04-26,2019.05.28,任务编号：740023,800.0,"7天,3天,3天,3天,7天,5天,7天,2天,1天,3天,5天,7天","四川省-绵阳市,北京市-北京市,上海市-市辖区,广西壮族自治区-柳州市-柳南区,北京市-北京市-丰台区,广东省-佛山市-禅城区,湖南省-长沙市-岳麓区,江苏省-苏州市,山西省-太原市,广东省-广州市,湖南省-长沙市-长沙县,广东省-广州市-海珠区",腾际品牌管理,https://shop.epwk.com/3gd2mor7gner/,腾际品牌管理,出售服务,https://shop.epwk.com/3gd2mor7gner/chushou/,企业,四品,54分,,,腾际品牌管理,,百度百科搜狗互动企业品牌人物APP词条创建编辑,"￥100
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划,"￥100
            /起",商务商业计划书**策划书招商路演项目可行性研究报告**作,"￥100
            /起",招商策划商务合作拓展餐饮美容健身教育培训机构营销策略品牌,"￥100
            /起",代做可行性研究报告修改立项审批项目建议书资金申请可研报,"￥100
            /起",创业商业计划书**策划书招商项目路演可行性研究报告,"￥100
            /起",商业计划书招商计划书**路演创业可行性研究报告策划书,"￥100
            /起",企业画册logo标志设计产品册设计菜谱菜单广告封面画册设计,"￥100
            /起",PPT设计定制作演讲工作汇报路演招商课件企业介绍动态美,"￥100
            /起",活动策划
【产品推广】关于交友APP推广的整套方案策划,https://task.epwk.com/726679/,1153人,1人,1000元以内,圆满完成,o5c9460aca4d5d,该APP只用于男同性恋线下约会，网站下载，不在应用商城，通过赠送礼物表示诚意来与对方约会。最好是能写出渠道与方式的，包括能落地的营销方案，比如百度贴吧这种特定人群聚集的帖子。最大化吸引眼球的形式，置顶帖子或者软文等等，让更多的人知道这个网站跟软件。不要打官方广告。官方打广告我也会，有渠道的合作商更好。,2019-03-26,2019.04.04,任务编号：726679,500.0,4天,山东省-威海市,岙珩文创,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,产品推广
【产品推广】软件行业类贴吧推广,https://task.epwk.com/718923/,1270人,2人,1000-3000元,圆满完成,o5bc6bb051435e,标题就是，贴吧推广内容是，发帖，贴吧置顶，帖子回复手机微信同步 着急，越快越好。,2019-03-08,2019.03.23,任务编号：718923,1000.0,"10天,7天","四川省-成都市,山东省-青岛市",天府互联/四川天虎互联科技有限公司,https://shop.epwk.com/mod042p905yv/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,产品推广
【整合营销】地产活动策划方案,https://task.epwk.com/714597/,1621人,10人,1000-3000元,圆满完成,小没良心的,需要有经验的，熟悉地产活动的策划,2019-02-26,2019.03.16,任务编号：714597,1500.0,"1天,7天,7天,5天,2天,5天,7天,2天,7天","山东省-青岛市,山东省-青岛市,四川省-绵阳市,湖北省-武汉市-洪山区,四川省-成都市-市辖区,北京市-北京市,贵州省-贵阳市,浙江省-杭州市,山东省-青岛市",光影品牌策划,https://shop.epwk.com/89dvgrvjwdl2/,光影品牌策划,出售服务,https://shop.epwk.com/89dvgrvjwdl2/chushou/,企业,三品,45分,,,光影品牌策划,,活动策划方案撰写（线上&线下）,"￥999
            /起",商业计划书撰写,￥5000,折页/画册设计,"￥299
            /页",企业标志设计,￥5000,创意海报设计,"￥999
            /起",,,,,,,,,整合营销
【整合营销】超市运营方案策划,https://task.epwk.com/713228/,1764人,5人,1000-3000元,圆满完成,优胜美地,超市运营方案，写这个的最好是江苏苏州的，可以实地考察,2019-02-22,2019.04.17,任务编号：713228,2000.0,"9天,7天,3天,7天","山东省-德州市,山东省-青岛市,浙江省-杭州市,山东省-青岛市",金芭蕉文案服务工作室,https://shop.epwk.com/78n96wzkxnkv/,金芭蕉文案服务工作室,出售服务,https://shop.epwk.com/78n96wzkxnkv/chushou/,工作室,五品,37分,,,金芭蕉文案服务工作室,,代笔影视文案宣传片解说词微电影剧本影视策划,价格面议,专业定制各类文书写作,价格面议,商业计划书融资合作招商运营方案可行性报告代写,价格面议,品牌文案,价格面议,微信文章写作公众号服务号微博配图文推广文案,价格面议,,,,,,,,,整合营销
【关键词优化】新站网站关键词筛选，关键词布局网站结构和站内优化,https://task.epwk.com/705102/,1423人,1人,1000元以内,圆满完成,mf155****4417,符合seo，www.qiaojiawantou.com具体详谈,2019-01-20,2019.02.16,任务编号：705102,768.0,15天,四川省-成都市,天府互联/四川天虎互联科技有限公司,https://shop.epwk.com/mod042p905yv/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,关键词优化
【活动策划】策划一场推广活动,https://task.epwk.com/705029/,2269人,5人,1000-3000元,圆满完成,高手不容易,策划一场推广活动，包括主题软文，平面设计，,2019-01-19,2019.01.28,任务编号：705029,1800.0,"7天,7天","四川省-绵阳市,广东省-汕头市-龙湖区",腾际品牌管理,https://shop.epwk.com/3gd2mor7gner/,腾际品牌管理,出售服务,https://shop.epwk.com/3gd2mor7gner/chushou/,企业,四品,54分,,,腾际品牌管理,,百度百科搜狗互动企业品牌人物APP词条创建编辑,"￥100
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划,"￥100
            /起",商务商业计划书**策划书招商路演项目可行性研究报告**作,"￥100
            /起",招商策划商务合作拓展餐饮美容健身教育培训机构营销策略品牌,"￥100
            /起",代做可行性研究报告修改立项审批项目建议书资金申请可研报,"￥100
            /起",创业商业计划书**策划书招商项目路演可行性研究报告,"￥100
            /起",商业计划书招商计划书**路演创业可行性研究报告策划书,"￥100
            /起",企业画册logo标志设计产品册设计菜谱菜单广告封面画册设计,"￥100
            /起",PPT设计定制作演讲工作汇报路演招商课件企业介绍动态美,"￥100
            /起",活动策划
【活动策划】活动营销全案策划,https://task.epwk.com/699558/,2379人,12人,1000-3000元,圆满完成,o59ccc5ff2d7d9,大型楼盘营销中心对外开放为主题，五大元素：宜居、宜商、宜游、宜养、宜学。要以前期话题炒作，有节奏的推进，然后慢慢引爆到活动当天，活动后还能持续发热。需要一个为期一个月活动营销全案！以PPT形式展现，包括活动当天现场布局、舞台舞美、活动流程等越详细越好。,2019-01-04,2019.04.19,任务编号：699558,2000.0,"20天,10天,7天,5天,5天,5天,8天,5天,5天,3天,5天,2天","福建省-厦门市-思明区,江苏省-徐州市-云龙区,浙江省-杭州市,北京市-北京市-昌平区,上海市-市辖区-长宁区,北京市-北京市,山东省-济南市,浙江省-杭州市,河北省-保定市-新市区,广东省-深圳市-龙岗区,江西省-景德镇市-浮梁县,广东省-广州市-天河区",沐米的异想,https://shop.epwk.com/mod04zrx05yv/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,活动策划
【品牌策划】餐饮企业设计企业文化包装策划,https://task.epwk.com/643621/,2180人,8人,1000元以内,圆满完成,o5b4c4adaaaa3c,"2013年开了第一家店“传说烤串坊”自助烤串下排烟的串吧，2015年开了一家分店，以后想做加盟店。需求：本人开主题串吧5年了一直想发展加盟店，因为知识程度还有团队不够扎实一直没有发展起来，想找人帮忙设计一下企业文化，规划一下加盟事宜，能容越详细越好。,2013年开了第一家店“传说烤串坊”自助烤串下排烟的串吧，2015年开了一家分店，以后想做加盟店。需求：本人开主题串吧5年了一直想发展加盟店，因为知识程度还有团队不够扎实一直没有发展起来，想找人帮忙设计一下企业文化，规划一下加盟事宜，能容越详细越好。",2018-07-31,2018.09.13,任务编号：643621,800.0,"5天,7天,5天,10天,7天,3天,3天","山东省-青岛市,河南省-安阳市,广东省-深圳市,山东省-济南市,广东省-广州市,湖南省-长沙市-雨花区,福建省-福州市",利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",品牌策划
【产品推广】公众号运营与商城推广,https://task.epwk.com/640687/,3467人,7人,1000-3000元,圆满完成,o5b35a9108d26b,初步有了公众号以及商城。现在需要代运营公众号与商城推广具体投标联系。,2018-07-24,2018.11.13,任务编号：640687,1000.0,"30天,30天,5天,30天,3天,10天,6天","河南省-商丘市-梁园区,山东省-青岛市,河南省-郑州市,四川省-成都市,湖南省-湘潭市-湘潭县,浙江省-杭州市,北京市-北京市-海淀区",璞玉推广,https://shop.epwk.com/2j5xo3g7x5xm/,璞玉推广,出售服务,https://shop.epwk.com/2j5xo3g7x5xm/chushou/,企业,五品,43分,,,璞玉推广,,微信朋友圈投放/知乎开屏广告,"￥1
            /起",网站建设 搭建官网 微网站建设,"￥1
            /年",百度/360/搜狗排名优化/SEO排名,"￥1
            /次",APP下载/注册/绑卡/APP推广/全国推广,"￥1
            /次",微信营销 微信推广 朋友圈分享  公众号推广 公众号代运营,"￥1
            /次",QQ邮箱 新浪邮箱 邮箱群发 邮件群发 短信群发 真人代发,"￥1
            /次",百度百科 百度知道 网站SEO优化,"￥1
            /年",,,,,产品推广
【网站优化方案】代发外链，网站优化,https://task.epwk.com/638494/,1500人,3人,1000元以内,圆满完成,拉风车友,我的房产网站推广，要发些外链，要求包收录，包存活72小时以上，存活率达90%以上有新闻源的也可以我的网站网址 http://www.zunahao.cn     有能力可以快速提高我排名的，也可联系我,2018-07-18,2018.08.23,任务编号：638494,400.0,"7天,60天","湖北省-武汉市,广东省-深圳市-宝安区",惠天下网络工作室,https://shop.epwk.com/0z5o48y48njq/,惠天下网络工作室,出售服务,https://shop.epwk.com/0z5o48y48njq/chushou/,工作室,四品,40分,,,惠天下网络工作室,,外链代发,"￥10
            /起",企业网站开发,"￥3000
            /起",搜索引擎优化，关键词快速排名,"￥500
            /起",百度问答推广,"￥3000
            /组",,,,,,,,,,,网站优化方案
【网站优化方案】h5前端网站优化,https://task.epwk.com/635570/,1413人,2人,5000-10000元,圆满完成,o59cf65d1a3f26,需求h5前端，做网站优化，dcloud和mui项目dcloud的mui的项目，有手机网站和手机app，dcloud的混生项目。后台我们有人在做，只做前端一  加载速度慢 需要优化  提高用户体验度  修改部分ui二 需要加一个功能，目前是上面维修接单下单，需要加一个货运这样的功能   单独的页面 首页加一个入口总工期十天以内网站：m.wgbservice.com,2018-07-10,2018.07.20,任务编号：635570,5000.0,10天,广东省-广州市,海心科技,https://shop.epwk.com/3gd2mymoener/,海心科技,出售服务,https://shop.epwk.com/3gd2mymoener/chushou/,企业,七品,68分,总 1 次中标，交易总金额,￥5000.00,海心科技,,,,,,,,,,,,,,,,,,,,网站优化方案
【关键词优化】无指数关键词简单快排,https://task.epwk.com/628439/,1682人,5人,1000元以内,圆满完成,liuf888,目标网站：https://www.bhmm.com/关键词：币虎目前百度排名第二页第六位，要求排名上升到首页前三,2018-06-21,2018.07.12,任务编号：628439,800.0,"30天,10天,10天,30天,10天","重庆市-重庆市-渝北区,山东省-青岛市,陕西省-西安市,山东省-临沂市,重庆市-市辖区-江北区",重庆智青创网络科技,https://shop.epwk.com/2j5xo3lmk5xm/,重庆智青创网络科技,出售服务,https://shop.epwk.com/2j5xo3lmk5xm/chushou/,企业,七品,40分,,,重庆智青创网络科技,,网站SEO优化,"￥2500
            /月",小程序开发,"￥3000
            /套",PHP源生开发,"￥6000
            /套",自媒体运营,"￥2800
            /月",,,,,,,,,,,关键词优化
【活动策划】活动策划方案制作,https://task.epwk.com/625953/,1903人,6人,1000-3000元,圆满完成,o593aad9bbc235,策划一场创新创意大赛，由区科技局和区文广局主办，联合市团委，面向市各大高校学生参赛。请各路高手策划活动方案。,2018-06-14,2018.07.05,任务编号：625953,1200.0,"5天,3天,4天,2天,3天,8天","山东省-青岛市-崂山区,山东省-临沂市-兰山区,山东省-泰安市-泰山区,河北省-石家庄市,山东省-济南市,内蒙古-呼和浩特市-新城区",光影品牌策划,https://shop.epwk.com/89dvgrvjwdl2/,光影品牌策划,出售服务,https://shop.epwk.com/89dvgrvjwdl2/chushou/,企业,三品,45分,,,光影品牌策划,,活动策划方案撰写（线上&线下）,"￥999
            /起",商业计划书撰写,￥5000,折页/画册设计,"￥299
            /页",企业标志设计,￥5000,创意海报设计,"￥999
            /起",,,,,,,,,活动策划
【微信推广】微信群二维码推广,https://task.epwk.com/625219/,2206人,7人,1000元以内,圆满完成,gang0110,微信群（200人以上）推广二维码！截图验证！2元一条！发100个群，每个群发信息记录，五分钟后截图预算：150,2018-06-13,2018.06.17,任务编号：625219,200.0,"2天,10天,3天,1天,3天,1天,7天","北京市-北京市-东城区,山东省-青岛市,湖南省-娄底市-新化县,湖北省-黄冈市-黄州区,湖南省-长沙市,山东省-潍坊市-奎文区,浙江省-绍兴市-越城区",applense,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,微信推广
【活动策划】活动策划方案,https://task.epwk.com/623558/,2045人,6人,1000元以内,圆满完成,k7625****18,活动方案，建材行业，湖北，要做拓客活动方案，,2018-06-07,2018.06.19,任务编号：623558,900.0,"3天,2天,3天,2天,2天,3天","江苏省-苏州市,河北省-石家庄市,广东省-广州市,山东省-泰安市-泰山区,山东省-济南市,四川省-成都市",苏州燕子坞文化传媒有限公司,https://shop.epwk.com/3gd2mm2ypner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,活动策划
【网站优化方案】操盘日志网站优化,https://task.epwk.com/611265/,1315人,2人,1000-3000元,圆满完成,mmz2018,操盘日志（http://www.caopanrizhi.cn) 网站标志目前征集中，目前网站较小，内容不多，打算对网站做一次结构性调整网站的总体构思如下：1）主要是以发布每年、每月、每周操盘分析与操盘计划为核心内容，最终用核心内容来实现网站赢利。2）操盘日志网站8个关键词：期货人生、年度分析、月度分析、操盘总结、旋风系统、每周计划、操盘日志、天期预报。需要整理优化一下，便于以后容易收录或搜索。3）2018年至2020年为网站初创期，不收费，不在站内做广告，网站的推广要走正规渠道。用实力来赢得流量与客户。4）网站定位：中长期地服务所有投资交易人或团体。5）网站理念：让交易变简单6）网站服务：通过旋风系统来解释市场变化，为投资者提供相对真实、准确、客观、实用的参考信息7）网站特色：原创性、专业性、实用性8）网站更新周期：目前只需要一周更新一到两次就行了，因为走的是中长期投资路线，定好的目标计划不会轻易改变。 目前网站存在一些小问题，需要做适度优化。本站是凡科建站平台搭建而成。投标人的优化工作：必须按照上述 网站的总体构思原则来进行优化1）网站目前有时有少许无效弹窗问题，可能有多余无效的程序，需清理一下。2）关键字整理，便于外链，推广 3）网站结构、美工等在顺应网站总体构思情况下做个调整。4）手机网站的结构和电脑网站保持基本大体上一致（以后便于文章复制），5)其它您认为好的东西。6)更换网站LOGO，目前已委托设计7）能不能加入一个功能类似天气预报网站相关功能（天期预报功能）？ 操盘日志网站优化后应能在百度、搜狗等网站较容易搜出操盘日志网站，网站效果相对以前较好，访问量相对有所增大。具体可沟通，也可提出您的宝贵创意，只要是有利于操盘日志发展操盘日志网站有长远的规划，投标人如果确实推动了操盘日志网站的成长，可与本站进行长期深度合作。,2018-05-08,2018.07.03,任务编号：611265,1000.0,20天,四川省-成都市,天府互联/四川天虎互联科技有限公司,https://shop.epwk.com/mod042p905yv/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,网站优化方案
【整合营销】公司网站板块内容策划,https://task.epwk.com/604690/,1967人,7人,1000元以内,圆满完成,o583e21ed6ad59,1、公司为互联网、软件行业。2、公司网站在网络推广比重还是比较大，需要从用户角度重新策划板块、内容以及板块顺序，吸引用户的亮点等，做到最大程度的吸引进站用户。3、策划思路需要新颖，有亮点，能让目标用户一进来就能明了自己所需的内容在哪，而且有吸引力。4、现有网站：www.it-ys.com,2018-04-20,2018.05.07,任务编号：604690,300.0,"3天,10天,2天,3天,2天,3天","广西壮族自治区-柳州市-柳南区,广东省-广州市,河北省-石家庄市,上海市-市辖区,山东省-济南市,四川省-成都市-锦江区",o5acdf904ac032,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合营销
【关键词优化】360.搜狗相关SEM优化,https://task.epwk.com/593904/,2306人,1人,1000-3000元,圆满完成,zhwebs,。希望能在这两个平台上，把这些关键词都发布上去。主要推广的内容是，基因体检，提前帮助用户发现患病风险。专题链接是：xingdong.angelgene.cn问卷链接是：h5.angelgene.cn,2018-03-22,2018.04.04,任务编号：593904,2400.0,7天,江西省-吉安市-吉安县,pengzhuo123,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,关键词优化
【活动策划】项目活动策划方案,https://task.epwk.com/584544/,2079人,6人,1000-3000元,圆满完成,DY001,周先生，项目活动策划方案，江苏常州，不限制地区，传统文化方面的宣传，跟政府合作,2018-02-26,2018.03.14,任务编号：584544,2000.0,"4天,2天,4天,3天,5天","辽宁省-沈阳市,山东省-泰安市-泰山区,湖南省-株洲市-天元区,上海市-市辖区-黄浦区,广东省-深圳市-宝安区",紫彧营销咨询机构,https://shop.epwk.com/p05qjj3xydev/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,活动策划
【微信代运营】儿童兴趣教育平台公众号代运营,https://task.epwk.com/580848/,3011人,3人,1000元以内,圆满完成,o576b2dd257edd,公众号：企鹅兔儿童兴趣平台（服务号）行业：儿童兴趣 / 教育 /  互联网春节期间找人代运营/大号导流，能接单的请添加微信详聊，添加请备注威客代运营。主要模式为：发布优质推文（可非原创）、阅读量推广、粉丝运营。,2018-02-06,2018.03.05,任务编号：580848,500.0,"25天,1天,1天","江西省-吉安市-吉安县,安徽省-合肥市-肥西县,黑龙江省-哈尔滨市-平房区",pengzhuo123,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,微信代运营
【活动策划】装饰公司跨年活动策划,https://task.epwk.com/565161/,1141人,3人,1000-3000元,圆满完成,赤壁起点装饰,装饰公司元旦跨年活动策划，只需要策划活动方案（优惠方案）已有三个套餐，另外需要其它优惠方案，要求新颖，不要老一套，以及活动方案的方案。,2017-12-20,2017.12.27,任务编号：565161,1000.0,"3天,3天,1天","河南省-郑州市-市辖区,上海市-市辖区-黄浦区,河北省-石家庄市-新华区",殊同品牌策划设计,https://shop.epwk.com/09drjejxe53w/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,活动策划
