标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link
【医疗机构】男性专科医院装修设计,https://task.epwk.com/962702/,181人,1人,¥3000,圆满完成,雇佣,k8545****5,大厅涵盖前台、挂号、取药、收费区，每层都要有护士站，病房是2-3人间,2021.10.01,2021.10.12,任务编号：962702,￥3000,3天,贵州省-贵阳市-市辖区,静阁空间设计,https://task.epwk.com/javascript:;
【样板间】360度全景样板间设计,https://task.epwk.com/962696/,338人,1人,¥1500,圆满完成,雇佣,k3019****5,售楼处360度全景样板间，有立体感，布局合理,2021.10.01,2021.10.12,任务编号：962696,￥1500,5天,浙江省-杭州市-市辖区,格律设计,https://task.epwk.com/javascript:;
【工程造价】市政排水工程造价！急！！,https://task.epwk.com/961324/,524人,1人,¥5000,圆满完成,雇佣,k2005****1,1.人行道： 花岗岩12300平米，50*25*4CM、2.立缘石： 花岗岩2400米，90*12*35CM 3.卧石： 花岗岩2250米，45*30*9cm 4.平缘石： 花岗岩1798米，120*10*20 5.管道 (钢混II级承插） D300 135米 D500 220米 D600 949米 D800 860米 6.∮1250检查井27 个 .∮1000检查井36个。7.砖砌偏沟式雨水口 66个,2021.10.01,2021.10.14,任务编号：961324,￥5000,5天,浙江省-杭州市-市辖区,夏鼎设计,https://task.epwk.com/javascript:;
【娱乐休闲】酒店大堂水吧设计装修,https://task.epwk.com/962704/,218人,1人,¥1500,圆满完成,雇佣,k8545****5,在一个温泉酒店的中厅设计一个水吧。要求：西式酒吧风格的水吧，材质要求是玻璃透明的，要有一个可以展示红酒的展架。,2021.10.01,2021.10.15,任务编号：962704,￥1500,5天,河北省-石家庄市-市辖区,玖猫设计工作室,https://task.epwk.com/javascript:;
【样板间】vr样板间设计图,https://task.epwk.com/962697/,369人,1人,¥3000,圆满完成,雇佣,k4786****8,样板间需要VR图、分布效果图、施工图（简约时尚风格 黑白灰，主色：灰色）,2021.10.01,2021.10.10,任务编号：962697,￥3000,3天,湖北省-孝感市-市辖区,君道空间设计,https://task.epwk.com/javascript:;
【娱乐休闲】毛坯房-KTV设计,https://task.epwk.com/961322/,249人,3人,¥1200,圆满完成,雇佣,k9772****7,面积：250平，设计要求：每个房间不同风格，主题包厢。元素：个性、年轻、时尚,2021.10.01,2021.10.11,任务编号：961322,"￥1200,￥1200,￥1200","3天,5天,5天","陕西省-西安市-市辖区,新疆-乌鲁木齐市-市辖区,安徽省-芜湖市-市辖区",拍档设计,https://task.epwk.com/javascript:;
【医疗机构】社区门诊部,https://task.epwk.com/962700/,280人,1人,¥2000,圆满完成,雇佣,k3796****7,面积：600，一共需要7间诊室，一个注射大厅，风格白色为主,2021.10.01,2021.10.13,任务编号：962700,￥2000,6天,甘肃省-兰州市-市辖区,k531286305,https://task.epwk.com/javascript:;
【样板间】欧式样板间设计,https://task.epwk.com/961320/,364人,1人,¥1000,圆满完成,雇佣,k3011****5,装修风格：欧式现代/古典，厅室：2房1厅,2021.10.01,2021.10.14,任务编号：961320,￥1000,6天,浙江省-杭州市-市辖区,乔治室内设计,https://task.epwk.com/javascript:;
【医疗机构】宠物医院整体装修设计,https://task.epwk.com/962701/,429人,3人,¥2000,圆满完成,雇佣,k1355****2,风格：简约干净，靠墙一侧要工作人员办公区域，另一侧有货架摆放宠物用品，要有三处操作台供宠物洗澡美容,2021.10.01,2021.10.13,任务编号：962701,"￥2000,￥2000,￥2000","5天,5天,5天","吉林省-吉林市-市辖区,黑龙江省-哈尔滨市-市辖区,青海省-西宁市-市辖区",清晰空间设计,https://task.epwk.com/javascript:;
【复式设计】洋房复式装修设计,https://task.epwk.com/962467/,579人,1人,¥15000,圆满完成,雇佣,k6758****8,负一楼毛胚挑高5.1米做一个夹层（标准层高）下面一层矮一点，功能区格局有大概整理好了可看附件，前后两个花园简单设计一下主要是南面的。面积一楼产权102套内估计90多点，楼下是一楼的投影面积+3个车位的面积。,2021.10.01,2021.10.12,任务编号：962467,￥15000,5天,上海市-上海市-市辖区,鑫博新设计,https://task.epwk.com/javascript:;
【复式设计】复式书房设计,https://task.epwk.com/961319/,483人,2人,¥800,圆满完成,雇佣,k4915****6,想把楼上做成书房，屋顶是斜面，楼梯最好可以做成折梯,2021.10.01,2021.10.13,任务编号：961319,"￥800,￥800","3天,5天","上海市-上海市-市辖区,云南省-昆明市-市辖区",思间设计中心,https://task.epwk.com/javascript:;
【复式设计】一层半复式阁楼设计,https://task.epwk.com/962466/,318人,1人,¥4000,圆满完成,雇佣,k2938****5,阁楼最高部分为2.9M，阁楼全部为挑空，我会将挑空部分全部搭建楼板，厨房与客厅的强会部分拆除，增加房屋的透光,2021.10.01,2021.10.13,任务编号：962466,￥4000,6天,湖北省-孝感市-市辖区,品言设计空间,https://task.epwk.com/javascript:;
,,,,,,,,,,,,,,,,
【导视设计】需要设计地产标识导视系统,https://task.epwk.com/961318/,540人,2人,¥10000,圆满完成,雇佣,k8385****6,要有导视牌，指示牌，索引牌，小区标识牌，温馨提示牌，停车场牌，宣传栏等,2021.10.01,2021.10.14,任务编号：961318,"￥10000,￥10000","6天,6天","河南省-新乡市-市辖区,江西省-南昌市-市辖区",思间设计中心,https://task.epwk.com/javascript:;
【复式设计】复式第二层楼顶装修设计,https://task.epwk.com/962465/,227人,1人,¥1000,圆满完成,雇佣,k7431****1,复式第二层楼顶太低感觉很压抑，想把窗户扩大采光好一点，,2021.10.01,2021.10.12,任务编号：962465,￥1000,6天,安徽省-芜湖市-市辖区,k961182550,https://task.epwk.com/javascript:;
【医疗机构】美容医疗机构,https://task.epwk.com/961321/,154人,1人,¥1000,圆满完成,雇佣,k3272****4,面积：130平，层高4.5米，一楼，会客区，消毒间，员工休息间，卫生间，洗毛巾，配料间，前台,2021.10.01,2021.10.12,任务编号：961321,￥1000,6天,安徽省-合肥市-市辖区,俱东风文创设计,https://task.epwk.com/javascript:;
【医疗机构】中医诊所办公室装修设计,https://task.epwk.com/962703/,465人,2人,¥5000,圆满完成,雇佣,k1906****3,风格：简约大气，一楼接待大厅，二楼医生办公室3间，财务室1间，会议室1间。尽量节约，不要太复杂,2021.10.01,2021.10.12,任务编号：962703,"￥5000,￥5000","5天,5天","广东省-深圳市-市辖区,河南省-商丘市-市辖区",所见空间设计,https://task.epwk.com/javascript:;
【医疗机构】中医院整体装修设计,https://task.epwk.com/966863/,191人,1人,¥5000,圆满完成,雇佣,k9765****7,两层，风格：中式风格。要求：一楼导诊台、取药处、等候区。二楼五间医生诊室、等候区、财务室,2021.09.30,2021.10.12,任务编号：966863,￥5000,6天,上海市-上海市-市辖区,筑8设计,https://task.epwk.com/javascript:;
【娱乐休闲】很简单的酒店大厅设计,https://task.epwk.com/967736/,243人,1人,¥1000,圆满完成,雇佣,k5564****5,尺寸空间自己定，设计出来的效果图真实感要强，大厅前台的背景墙上需要logo,2021.09.30,2021.10.12,任务编号：967736,￥1000,3天,福建省-福州市-市辖区,k374008976,https://task.epwk.com/javascript:;
【娱乐休闲】宾馆客房设计,https://task.epwk.com/967737/,226人,1人,¥2000,圆满完成,雇佣,k2327****8,洗手间标高2.55  客房标高2.75。期待设计出风格时尚 精致 有特色的原创作品,2021.09.30,2021.10.10,任务编号：967737,￥2000,5天,辽宁省-葫芦岛市-市辖区,尚淼设计,https://task.epwk.com/javascript:;
【自建房】老家自建房两层,https://task.epwk.com/966573/,157人,1人,¥1000,圆满完成,雇佣,k6178****6,房屋坐北朝南，一楼占地开间7.5米～进深10米。东南西面可开窗，房子后面不能开窗，二楼前面飘1.5米,2021.09.30,2021.10.11,任务编号：966573,￥1000,3天,上海市-上海市-市辖区,银翼效果图设计表现,https://task.epwk.com/javascript:;
【样板间】售楼部样板间设计,https://task.epwk.com/971304/,197人,1人,¥3000,圆满完成,雇佣,k4406****7,户型为两房一厅一卫和三方两厅一卫，要宽敞明亮，风格要简约,2021.09.30,2021.10.12,任务编号：971304,￥3000,3天,四川省-成都市-市辖区,名视设计,https://task.epwk.com/javascript:;
【复式设计】复式洋房庭院设计,https://task.epwk.com/971329/,145人,1人,¥1000,圆满完成,雇佣,k4790****7,装修风格：田园风格，面积：50平米，总面积约为7*7的正方形，出门正对靠山的斜坡。两侧一面是高墙，一面是铁栅栏,2021.09.30,2021.10.11,任务编号：971329,￥1000,3天,江苏省-南京市-市辖区,婴知道设计,https://task.epwk.com/javascript:;
【娱乐休闲】图书馆休闲区设计布置,https://task.epwk.com/967738/,184人,1人,¥2000,圆满完成,雇佣,k5799****1,进门口为服务区，设计服务台。空间分为图书区（书架），阅览区（桌椅），休闲区（休闲桌椅或沙发等），空间搭配合理，产品设计美观。,2021.09.30,2021.10.11,任务编号：967738,￥2000,5天,河南省-商丘市-市辖区,梵不高设计,https://task.epwk.com/javascript:;
【医疗机构】女性专科医院装修设计,https://task.epwk.com/966862/,250人,2人,¥10000,圆满完成,雇佣,k4880****1,面积：2508.37，共5层，一楼是接待区，二楼是诊室，三楼是手术区，四楼五楼是病房。风格是粉色的暖色调为主,2021.09.29,2021.10.15,任务编号：966862,"￥10000,￥10000","6天,7天","内蒙古-赤峰市-市辖区,山东省-潍坊市-市辖区",拓昇装饰设计工程,https://task.epwk.com/javascript:;
【娱乐休闲】360平米养生会所整体装修设计,https://task.epwk.com/967734/,182人,1人,¥1500,圆满完成,雇佣,k9340****0,面积：360平米，风格与养生主题相关即可，看起来要舒适典雅,2021.09.29,2021.10.11,任务编号：967734,￥1500,5天,福建省-福州市-市辖区,千唐装饰设计,https://task.epwk.com/javascript:;
【医疗机构】社区医院装修设计,https://task.epwk.com/966861/,86人,1人,¥1000,圆满完成,雇佣,k1880****2,主要有内科、呼吸科、小儿科。共两层，一楼是导诊台和药房，二楼是诊室。风格要简约,2021.09.29,2021.10.14,任务编号：966861,￥1000,5天,天津市-天津市-市辖区,骏邦设计,https://task.epwk.com/javascript:;
【复式设计】复式别墅设计,https://task.epwk.com/971327/,308人,1人,¥10000,圆满完成,雇佣,k9732****0,面积：247，整体风格：徽派现代 ，简约不简单，有足够的创意设计 。能给人足够的惊喜，不需要太多的奢华元素，但要实用、温馨，有休闲、休憩空间 。,2021.09.29,2021.10.12,任务编号：971327,￥10000,5天,湖南省-常德市-市辖区,永空间设计,https://task.epwk.com/javascript:;
【娱乐休闲】私房菜店面设计,https://task.epwk.com/967733/,387人,1人,¥1200,圆满完成,雇佣,k7893****2,店铺一共两层，共200平。1、店面时尚、大气、整洁、高档，有连锁店的形象和感觉。2、二楼可以设计成隔断,2021.09.29,2021.10.11,任务编号：967733,￥1200,4天,北京市-北京市-市辖区,谷瑞空间营造设计工作室,https://task.epwk.com/javascript:;
【医疗机构】试管医院一楼大厅设计,https://task.epwk.com/966859/,110人,1人,¥1000,圆满完成,雇佣,k1939****6,走廊和候诊厅应宽敞明亮，标识鲜明。候诊厅周围设护士站、问讯处、卫生间等辅助设施。,2021.09.28,2021.10.12,任务编号：966859,￥1000,5天,浙江省-丽水市-市辖区,感觉空间设计,https://task.epwk.com/javascript:;
【医疗机构】需要给口腔医院做整体设计,https://task.epwk.com/966860/,246人,1人,¥5000,圆满完成,雇佣,k3483****2,一楼负责接待和咨询，等候区布局要有沙发和书刊给病人。所有诊室的墙面要用耐腐蚀、易清洁的材料,2021.09.28,2021.10.11,任务编号：966860,￥5000,5天,广东省-汕头市-市辖区,k519318507,https://task.epwk.com/javascript:;
【娱乐休闲】五星级酒店美容Spa会所接待厅设计,https://task.epwk.com/967730/,182人,1人,¥500,圆满完成,雇佣,k8385****6,要求能体现美容会所特征，高端，大气，上档次。另外还有一块背景墙，该背景墙宽6.4米，高2.4米,2021.09.28,2021.10.12,任务编号：967730,￥500,3天,浙江省-温州市-市辖区,华艺装修设计,https://task.epwk.com/javascript:;
【娱乐休闲】楼盘休闲体验厅装修设计,https://task.epwk.com/967731/,166人,1人,¥500,圆满完成,雇佣,,,,,,,,,,
【自建房】自建房自住设计,https://task.epwk.com/966572/,254人,1人,¥1000,圆满完成,雇佣,k4188****5,一楼是车库。从第二层起，南面可向外跳1.3-1.5米，东面可向外跳0.6米；朝向：正门朝南面，背朝北面(为方便方向描述，以正门的方向为正面);东面自二楼以上与旁边的房子间隔0.6米，除过道外尽量不要开窗；西面自一楼起与隔壁房子间隔0.2米，除过道外尽量不要开窗;,2021.09.27,2021.10.07,任务编号：966572,￥1000,3天,湖北省-孝感市-市辖区,空间展示设计,https://task.epwk.com/javascript:;
【自建房】两层自建房设计做商铺用,https://task.epwk.com/966571/,392人,2人,¥1000,圆满完成,雇佣,k4291****5,第一层做门面，商铺设计，带厨房，卫生间，卧室，和车库。夹层带厨卫。二层中间一条通走廊，前面独立单间，后面做一个小套间带厨卫，计划做宾馆房或茶楼小型手游开发。,2021.09.27,2021.10.06,任务编号：966571,"￥1000,￥1000","3天,5天","浙江省-杭州市-市辖区,四川省-成都市-市辖区",顶构定制家具展厅设计,https://task.epwk.com/javascript:;
【样板间】我需要商品房的样板间设计,https://task.epwk.com/967852/,212人,1人,¥2000,圆满完成,雇佣,k8363****8,1.客厅前面大阳台与客厅合并 2.阳台设计洗衣烘干设备并有隐形的晾衣设备 3.客厅或餐厅一侧设置长条的贮藏柜 4.还要设置1500*600钢琴放置位置,2021.09.27,2021.10.08,任务编号：967852,￥2000,3天,上海市-上海市-市辖区,山东北川设计,https://task.epwk.com/javascript:;
【其他家装服务】8平方平面图施工图设计,https://task.epwk.com/957352/,373人,1人,¥100,圆满完成,雇佣,邬路遥,水电图铺砖图墙面图（护墙板）吊顶图（格栅）前台沙发布局图,2021.09.26,2021.09.28,任务编号：957352,￥100,1天,山西省-晋中市-榆次区,米兰全案设计,https://shop.epwk.com/09drj1qx353w/
【娱乐休闲】儿童游乐园设计,https://task.epwk.com/967729/,182人,1人,¥1000,圆满完成,雇佣,k1060****1,场地12*20米，周边围栏高度1米，滑雪梯高度3.8米，滑雪梯上围栏高度1.5米，总高度是5.3米。滑雪梯后面围栏设计一个三角形尖顶雪山， 可以高出围栏高度1米左右；,2021.09.25,2021.10.08,任务编号：967729,￥1000,5天,湖北省-武汉市-市辖区,莫宁空间设计,https://task.epwk.com/javascript:;
【自建房】我需要自建房设计,https://task.epwk.com/966569/,235人,1人,¥800,圆满完成,雇佣,k6753****7,4.5米墙可开窗;11米墙不能开窗。我的初步设想：一层，卷闸门、车库，杂物间。二层：上下楼梯，客厅，餐厅，厨房。三层：卧室，卫生间，淋浴间,2021.09.25,2021.10.07,任务编号：966569,￥800,3天,江苏省-南京市-市辖区,黑马创意装饰设计,https://task.epwk.com/javascript:;
【医疗机构】私立妇产医院的室内环境设计,https://task.epwk.com/966856/,174人,3人,¥2000,圆满完成,雇佣,k3796****7,风格：温馨舒适优雅，家居式的医疗室,2021.09.25,2021.10.06,任务编号：966856,"￥2000,￥2000,￥2000","5天,5天,5天","广东省-珠海市-市辖区,江西省-上尧市-市辖区,山西省-太原市-市辖区",幻悟空间设计,https://task.epwk.com/javascript:;
【自建房】乡间自建房屋装修设计,https://task.epwk.com/966567/,264人,1人,¥2000,圆满完成,雇佣,k6895****8,装修风格：中式现代/古典。房屋分类：旧房，乡村四合院，左右21米，前后22米。需有客厅、主卧、客房、独立餐厅、厨房、卫生间各1间。简约、大气、实用、环保,2021.09.24,2021.10.07,任务编号：966567,￥2000,5天,云南省-昆明市-市辖区,壹点壹客设计,https://task.epwk.com/javascript:;
【自建房】自建厂房入户大堂设计,https://task.epwk.com/966568/,253人,2人,¥2500,圆满完成,雇佣,k2268****6,面积：110，设计要求：1、设计风格简洁大方，以白色为主。2、大堂必须有形象墙、公司介绍和产品介绍的位置。3、作品风格、形式不限，但必须原创。,2021.09.24,2021.10.08,任务编号：966568,"￥2500,￥2500","6天,6天","四川省-成都市-市辖区,福建省-厦门市-市辖区",毕索思空间设计,https://task.epwk.com/javascript:;
【效果图设计】办公室工位摆放设计,https://task.epwk.com/956177/,781人,3人,¥500,圆满完成,雇佣,o61475d1c18192,办公室工位摆放设计，最后一张是平面图，实际场地是空的，只有承重墙跟柱子，其他地方都是空的,2021.09.20,2021.09.29,任务编号：956177,"￥500,￥500","7天,1天","河南省-郑州市-中原区,北京市-北京市-东城区",河南礼诚装饰工程有限公司,https://shop.epwk.com/78n962v3onkv/
,,,,,,,,,,,,,,,,
【其他家装服务】家用吧台设计,https://task.epwk.com/958237/,551人,2人,¥1000,圆满完成,雇佣,k3114****6,吧台设计在餐厅旁边的位置，不当餐桌用，只为了装饰，好看一些，风格不限,2021.09.14,2021.09.29,任务编号：958237,"￥1000,￥1000","5天,3天","重庆市-沙坪坝区-市辖区,江西省-上尧市-市辖区",k649574198,https://task.epwk.com/javascript:;
【展台展厅】四合院布局图尾款,https://task.epwk.com/929765/,586人,1人,¥2400,圆满完成,雇佣,vitorru,四合院布局图尾款,2021.04.15,2021.04.29,任务编号：929765,￥2400,5天,广东省-深圳市,深圳山河品牌顾问,https://shop.epwk.com/89dvgvkmgdl2/
【展台展厅】四合院布局图首款,https://task.epwk.com/929764/,550人,1人,¥1600,圆满完成,雇佣,vitorru,四合院布局图首款,2021.04.15,2021.04.15,任务编号：929764,￥1600,1天,广东省-深圳市,深圳山河品牌顾问,https://shop.epwk.com/89dvgvkmgdl2/
【效果图设计】商铺需要一个设计效果图,https://task.epwk.com/927906/,718人,1人,¥500,圆满完成,雇佣,Wang020121,我有个商铺，需要一个设计效果图，素材装修风格我都有，只要做个效果图就行了。。其他的不需要做，能做的联系我，紧急！！！,2021.04.05,2021.04.10,任务编号：927906,￥500,5天,北京市-北京市-丰台区,北京美陈广告有限公司,https://shop.epwk.com/j7n38q22l5e1/
【施工图设计】家装水电施工图纸(专业人事请进）,https://task.epwk.com/927048/,917人,1人,¥300,圆满完成,雇佣,o5f8d0ca0b9ef2,包含但不限于以下内容：一、灯具布置，绘制灯具位置的具体尺寸，方便工人准确找出电线暗合施工位置，以及开灯孔的位置。二、开关连线，绘制开关的位置，以及开关方式和连接到哪些灯具。三、强电布置，强电线路和功率，插座的位置绘制。四、弱点布置，弱点线路，面板的位置绘制。五、水路布置，给排水的布置，明确进水口，排水口的位置。布局图和具体需求微信提供，图纸需要源文件，将有专业水电工验收，有丰富经验的来。,2021.03.30,2021.04.12,任务编号：927048,￥300,2天,广东省-佛山市-顺德区,呈昊装饰设计,https://shop.epwk.com/mod04qvlk5yv/
【效果图设计】县城商品房毛坯装修设计图，装修施工图，装修方案,https://task.epwk.com/926978/,1573人,3人,¥800,圆满完成,雇佣,邦居工作室,附户型图，（面积117平方米）装修方案是指：设计图里的材料是什么材料,2021.03.30,2021.06.24,任务编号：926978,"￥800,￥800","498天,3天","重庆市-市辖区-万州区,河南省-新乡市",饭饭设计@_@,https://shop.epwk.com/78n96z1v2nkv/
【施工图设计】按手稿描绘店铺原始结构图,https://task.epwk.com/917262/,1222人,5人,¥100,圆满完成,雇佣,luo35****049,按手稿描绘原始结构图,2021.01.25,2021.01.28,任务编号：917262,"￥100,￥100,￥100,￥100,￥100","1天,1天,1天,1天,1天","广东省-广州市,重庆市-市辖区-万州区,山东省-济南市,河南省-周口市-郸城县,山东省-青岛市",匠行天下,https://shop.epwk.com/81n41pwylnp6/
【施工图设计】按图纸把原始平面图描绘出来,https://task.epwk.com/917120/,877人,1人,¥100,圆满完成,雇佣,luo35****049,按图纸把原始平面图描绘出来,2021.01.23,2021.01.26,任务编号：917120,￥100,1天,内蒙古-呼和浩特市-回民区,圆舟传媒,https://shop.epwk.com/j7n381kk25e1/
【效果图设计】简约轻奢风格茶桌场景和几张主图设计,https://task.epwk.com/893110/,1258人,3人,¥1000,圆满完成,雇佣,o5f624aa92dc47,需要出一个简约轻奢风格茶桌场景和几张主图，模型都有。,2020.09.17,2020.09.26,任务编号：893110,"￥800,￥800,￥800","2天,3天,3天","陕西省-西安市-未央区,四川省-成都市-锦江区,山东省-青岛市",炫世霜狼软件科技,https://shop.epwk.com/rp5z4ppowdx3/
【施工图设计】农村房室内装修设计,https://task.epwk.com/881857/,1364人,2人,¥200,圆满完成,雇佣,张生张生,农村房室内修改，有一些装修想法，希望两天可以完成,2020.07.31,2020.08.07,任务编号：881857,"￥200,￥200","2天,2天","四川省-成都市,广东省-惠州市-惠阳区",EdisonN,https://task.epwk.com/javascript:;
【效果图设计】2张小店餐厅效果图设计,https://task.epwk.com/874691/,1200人,1人,¥600,圆满完成,雇佣,wuwowuta,两张35平米的小店的3D效果图；,2020.07.01,2020.07.18,任务编号：874691,￥600,4天,浙江省-金华市,昆明众石嘉创文化传播,https://shop.epwk.com/09drjew7q53w/
【办公空间】办公室空间布局设计,https://task.epwk.com/870177/,1503人,3人,¥200,圆满完成,雇佣,独孤一正,办公室空间布局设计,2020.06.13,2020.07.14,任务编号：870177,"￥200,￥200","3天,7天","安徽省-淮南市-田家庵区,广东省-深圳市-宝安区",爱岩文化传媒,https://shop.epwk.com/09drjv4e653w/
【庭院设计】庭院和外立面鸟瞰图设计,https://task.epwk.com/866983/,1589人,1人,¥2000,圆满完成,雇佣,竹林听雨123,庭院和外立面鸟瞰图设计，徽派建筑,2020.06.02,2020.06.16,任务编号：866983,￥2000,3天,江苏省-淮安市-清河区,鲸跃传媒有限公司,https://shop.epwk.com/m7d7wvm4y5q8/
【效果图设计】超市室内平面设计图,https://task.epwk.com/861905/,1380人,3人,¥600,圆满完成,雇佣,o5ea2a3f8b5cb1,需要超市室内平面设计图，要求装修新颖，成本压低，包含屋顶和灯光设计，货品摆放位置，空间合理利用，屋内货架及装修用品为了能保证装修效果和设计效果一样，我们会在淘宝上购买装修用品，设计人员需提供淘宝链接和购买尺寸作为参考。经营内容：蔬菜，水果，零食，烟酒，调料，米面粮油，冷冻食品、冰棍、饮料、火锅食材（虾丸，鱼豆腐等涮品）注：屋内布局会放3个冰柜，1个冰箱。,2020.05.17,2020.05.30,任务编号：861905,"￥600,￥600","5天,4天","浙江省-金华市,河南省-郑州市",昆明众石嘉创文化传播,https://shop.epwk.com/09drjew7q53w/
【别墅设计】自建房建筑设计,https://task.epwk.com/858800/,2314人,1人,¥1500,圆满完成,雇佣,o5eb2f04a170db,我想请人设计农村自建房施工及效果图等图纸，费用大概1000元左右。需求：平面方案，建筑施工图，3D外观效果图，水电图、排水图设计，具体详谈,2020.05.07,2020.06.07,任务编号：858800,￥1000,4天,河北省-承德市-宽城满族自治县,神彩源设计策划,https://shop.epwk.com/qgdmjjyl8dke/
【效果图设计】指挥中心机房效果图制作,https://task.epwk.com/854573/,1270人,5人,¥2000,圆满完成,雇佣,o5e9dbcfb06f1b,大型智能化指挥中心效果图，要求：包含，大屏展示区需要整墙展示（可用宽面做展示），操控区域操作台每排5人5排—6排，会议室多人会议。玻璃钢架结构二层有层巡视走廊区域，调控空间可全面观看大屏整体效果。空间1000平米，长100米，宽10米，高16米，梁厚度600.,2020.04.20,2020.04.24,任务编号：854573,"￥2000,￥2000,￥2000,￥2000","2天,10天,3天,2天","江苏省-淮安市-清河区,安徽省-合肥市-包河区,广东省-深圳市,河北省-承德市-宽城满族自治县",鲸跃传媒有限公司,https://shop.epwk.com/m7d7wvm4y5q8/
【效果图设计】农村宅基地自建房平面图设计,https://task.epwk.com/846745/,1254人,2人,¥300,圆满完成,雇佣,o5e78c86e92745,农村宅基地自建房，一层长12米宽11.4米，三房两卫不要套房、背面不能开窗、客厅门口要小院子。广东的服务商,2020.03.24,2020.03.28,任务编号：846745,"￥300,￥300","3天,2天","广东省-广州市-海珠区,广东省-深圳市",广州品创商业空间店面设计（室内设计）,https://shop.epwk.com/zqdplgyk6n1v/
【效果图设计】办公室效果图设计,https://task.epwk.com/834357/,1804人,3人,¥500,圆满完成,雇佣,竹林听雨123,办公室设计图写字楼；财务部、行政人事部、采购部、工程部、会客室、老板办公室、总经理办公室等；老板办公室和财务室对门且老板办公室在整个房子格局的正北方；两个房间，可以打通。,2020.02.06,2020.03.25,任务编号：834357,"￥500,￥500,￥500","5天,3天,3天","广东省-广州市,四川省-达州市-大竹县,河南省-郑州市-市辖区",广州品创商业空间店面设计（室内设计）,https://shop.epwk.com/zqdplgyk6n1v/
【效果图设计】校园围墙效果图制作,https://task.epwk.com/816595/,1790人,6人,¥3000,圆满完成,雇佣,o5ac2a1991bcfc,与时俱进，用最新的想法设计来设计校园围墙，重点以国防教育为主题设计，要求摒弃农村小学的样式，以城市化学校来设计围墙,2019.11.28,2019.12.31,任务编号：816595,"￥3000,￥3000,￥3000","4天,8天,5天","广东省-深圳市,广西壮族自治区-贺州市-八步区,河南省-郑州市",映善中国,https://shop.epwk.com/09drjep7153w/
【施工图设计】设计楼顶党建元素施工图,https://task.epwk.com/815508/,1102人,1人,¥680,圆满完成,雇佣,o5da04b164849d,楼顶是一块闲置的空地，在空地一侧拟建一个有党建元素的文化园，结合此空地，因地制宜，发挥设计理念。目前，根据有些单位的做法，做了有五大伟人从西柏波走来的雕塑，还有用砖头做好后在砖上雕刻一些语录、口号。还有一点就是，空地上面有梁，地面到梁大概也就2m的样子。设计面积在布局图的右上角，即党建文化一块。请根据附件设计可操作的额设计图，总面积估计在6个平方左右,2019.11.25,2020.04.26,任务编号：815508,￥680,8天,广西壮族自治区-贺州市-八步区,威创设计工作室,https://shop.epwk.com/7g5ykxvx2n0q/
【软装设计】公司玻璃墙上贴用的宣传形象墙设计,https://task.epwk.com/813788/,1759人,3人,¥700,圆满完成,雇佣,健康从选择开始,"公司侧墙，突出展示公司品牌板块主营业务公司名称  施道赫商贸（天津）有限公司主营业务  德国生活馆  德国爱他美奶粉等母婴产品、德国凯撒、德国百帝王等啤酒、德国品牌厨具等                德事帮   （独立品牌） 移民、留学、游学、劳务及国际医疗服务                妙思龙启智桌游 （独立品牌）启迪智慧的桌面游戏，成就会思考、有思维、爱奇思妙想的非凡人生！        1、主要大图整个图片 长7.37 高 3.32米   全 面展示  突出德事帮板块        2、 大橱窗大图5.85米长 3.32米高 突出德国生活馆   三个板块 健康成长 （奶粉、保健 ）  快乐学习 （玩具、桌游） 美丽人生（日化、美妆）         3.  小橱窗    2.6米长  3.32米高   突出德事帮        4、 店内背景墙    4.2米长  3米高    突出德事帮形象与实力        5、德事帮门头设计长7.5,米   高0.68米真诚希望与有灵感设计师合作!",2019.11.19,2020.03.18,任务编号：813788,"￥700,￥700","2天,3天","山东省-淄博市-张店区,广东省-深圳市",中创品牌设计策划,https://shop.epwk.com/78n96yv6znkv/
【其他公装设计】自建房布局设计（四房两厅一卫）,https://task.epwk.com/809750/,1226人,2人,¥300,圆满完成,雇佣,武林小猪,四房两厅一卫就是厨房的位置需要偏左,2019.11.06,2019.11.14,任务编号：809750,"￥300,￥300","300天,2天","湖北省-武汉市-新洲区,海南省-海口市-琼山区",凰辰设计工作室,https://shop.epwk.com/3gd2mo9ygner/
【展台展厅】全息博物馆展厅设计,https://task.epwk.com/804666/,1698人,1人,¥4000,圆满完成,雇佣,o5dad134c9a5e7,要求两种方案：1、 做成5*5*3的方形篷房式，就是用帐篷的形式做，然后外部外观设计需要符合多种博物馆主题的潮流时尚科技感的风格2、做成直径为8米的圆形篷房式，帐篷的材料，外部的套布需要符合多种博物馆主题的潮流时尚科技感的风格3、两种方案需要设计好不同的门头4、馆内设计需求：设计储存柜及放置位置、人流安排设计、投影设计、通用型的贴纸、门头设计。 5、使用材料为篷房式，用框架支撑，篷房外膜为不透光或颜色较暗有科技感的胶布质或其他类似材质，要求安全无毒易安装。,2019.10.21,2020.04.07,任务编号：804666,￥4000,12天,四川省-成都市,热思设计,https://shop.epwk.com/j7n38xqe35e1/
